date,tmax,tmin,prcp,apparent_tmax,apparent_tmin,rain_sum,precip_hours,wind_speed_max,wind_gusts_max,wind_dir_dominant,radiation_sum,evapo_et0,sunshine_duration
2020-05-03,31.2,24.1,0.0,36.7,29.3,0.0,0.0,18.8,42.5,144.0,25.87,5.29,41936.24
2020-05-04,31.7,24.5,0.0,37.1,30.2,0.0,0.0,18.4,42.1,146.0,26.13,5.38,42110.83
2020-05-05,32.1,24.9,0.0,36.8,30.6,0.0,0.0,19.9,45.0,144.0,26.44,5.54,42121.64
2020-05-06,32.9,24.4,0.0,37.5,29.6,0.0,0.0,21.4,46.8,147.0,26.11,5.81,42218.11
2020-05-07,33.5,25.4,0.0,39.5,31.7,0.0,0.0,22.6,48.6,148.0,25.79,5.74,42057.35
2020-05-08,33.6,25.2,0.0,39.6,31.3,0.0,0.0,22.2,47.5,150.0,25.49,5.71,42242.84
2020-05-09,33.3,26.2,0.0,39.6,32.6,0.0,0.0,21.8,47.5,146.0,25.57,5.49,42255.48
2020-05-10,32.6,25.3,0.0,38.9,31.5,0.0,0.0,21.2,46.4,142.0,26.41,5.57,42268.34
2020-05-11,32.1,25.8,0.0,37.5,31.8,0.0,0.0,19.4,44.3,144.0,26.23,5.68,42281.43
2020-05-12,31.6,26.0,0.0,37.6,32.2,0.0,0.0,15.5,37.1,127.0,23.03,4.82,42112.69
2020-05-13,31.9,25.3,1.0,38.1,31.7,1.0,9.0,15.0,36.7,117.0,25.56,5.27,42308.34
2020-05-14,32.0,25.3,0.9,38.3,31.3,0.9,6.0,15.9,37.8,103.0,24.61,5.13,42044.97
2020-05-15,32.1,24.2,0.0,37.4,28.8,0.0,0.0,20.1,44.6,140.0,26.64,5.63,42523.17
2020-05-16,33.7,25.4,0.0,39.5,31.7,0.0,0.0,20.7,45.7,142.0,25.86,5.62,42258.16
2020-05-17,33.4,26.8,0.4,39.0,33.1,0.4,4.0,22.3,47.2,150.0,23.29,5.29,41097.97
2020-05-18,36.3,27.5,2.0,42.3,32.4,2.0,4.0,19.5,46.8,166.0,22.96,5.45,39292.41
2020-05-19,36.1,27.0,3.5,42.8,33.4,3.5,3.0,19.3,45.4,179.0,23.58,5.36,42589.73
2020-05-20,34.4,27.2,1.5,41.5,33.3,1.5,4.0,22.9,49.7,158.0,24.08,5.37,42415.53
2020-05-21,37.0,27.2,0.0,43.4,33.5,0.0,0.0,15.5,34.2,185.0,23.02,5.59,41858.38
2020-05-22,37.2,28.3,0.0,42.6,33.4,0.0,0.0,22.0,46.1,181.0,22.12,5.54,41919.23
2020-05-23,35.1,28.3,2.7,41.1,34.4,2.7,2.0,19.1,42.5,217.0,21.46,5.2,41063.58
2020-05-24,34.0,26.9,0.2,40.5,33.5,0.2,1.0,16.9,37.4,146.0,21.73,4.93,42199.99
2020-05-25,35.9,27.2,0.7,41.9,33.0,0.7,3.0,16.7,38.2,188.0,23.48,5.59,42403.16
2020-05-26,37.5,28.4,3.9,42.7,33.9,3.9,3.0,12.6,33.1,227.0,23.65,5.72,42209.83
2020-05-27,35.9,27.1,3.7,42.5,33.2,3.7,8.0,15.4,36.7,333.0,22.74,5.12,42686.67
