rain_sum,wind_speed_max,date,precip_hours,evapo_et0,wind_dir_dominant,sunshine_duration,apparent_tmin,tmax,radiation_sum,tmin,wind_gusts_max,prcp,apparent_tmax,latitude,longitude
1.0000,17.1000,2020-05-07,6.0000,5.2400,152.0000,42304.8500,33.4000,35.0000,20.8000,26.9000,31.3000,1.0000,40.3000,10.9453,106.8246
0.8000,17.7000,2020-05-08,6.0000,5.3400,158.0000,42313.5000,33.4000,35.3000,21.4100,27.1000,33.8000,0.8000,40.4000,10.9453,106.8246
0.6000,17.0000,2020-05-09,6.0000,5.6100,161.0000,42322.4800,34.0000,36.2000,22.5200,27.1000,32.0000,0.6000,42.4000,10.9453,106.8246
0.0000,22.3000,2020-05-10,0.0000,5.9100,151.0000,42331.8000,33.1000,36.3500,23.2000,26.9000,43.9000,0.0000,41.5000,10.9453,106.8246
0.0000,19.1000,2020-05-11,0.0000,6.0500,149.0000,42341.4600,33.0000,36.3500,23.2300,27.2000,37.8000,0.0000,41.3000,10.9453,106.8246
0.1000,15.4000,2020-05-12,1.0000,5.3700,146.0000,42351.4700,32.7000,35.7000,21.2600,26.8000,30.2000,0.1000,41.4000,10.9453,106.8246
2.8000,18.0000,2020-05-13,5.0000,5.6900,149.0000,42361.8500,32.1000,35.8000,22.0800,26.9000,33.5000,2.8000,41.8000,10.9453,106.8246
0.2000,14.1000,2020-05-14,1.0000,5.4600,126.0000,42372.7600,32.8000,35.9000,21.7900,27.0000,33.5000,0.2000,41.0000,10.9453,106.8246
0.8000,16.1000,2020-05-15,4.0000,5.4700,152.0000,42384.1900,33.6000,34.5000,21.7400,27.2500,31.0000,0.8000,39.6000,10.9453,106.8246
6.7000,9.7000,2020-05-16,11.0000,4.0300,135.0000,40589.8200,33.4000,34.2000,17.8500,27.2500,25.2000,6.7000,41.2000,10.9453,106.8246
22.4000,9.3000,2020-05-17,14.0000,4.1700,183.0000,37816.2200,32.1000,33.4000,18.0100,25.9000,25.2000,22.4000,39.0000,10.9453,106.8246
1.6000,14.0000,2020-05-18,4.0000,5.1800,181.0000,42421.2400,32.8000,34.8000,22.5000,26.1000,27.0000,1.6000,41.4000,10.9453,106.8246
27.7000,10.8000,2020-05-19,15.0000,4.5500,189.0000,40299.2000,33.2000,34.4000,19.9700,27.1000,26.3000,27.7000,41.1000,10.9453,106.8246
27.3000,14.8000,2020-05-20,17.0000,3.2000,159.0000,26244.4000,31.1000,31.8000,14.9500,25.6000,31.0000,27.3000,38.4000,10.9453,106.8246
1.3000,13.0000,2020-05-21,6.0000,4.6900,232.0000,42425.8200,33.1000,33.9000,21.2500,26.5000,29.5000,1.3000,40.4000,10.9453,106.8246
6.0000,13.6000,2020-05-22,11.0000,4.1100,192.0000,41292.5600,33.1000,32.8000,18.7700,26.5000,25.6000,6.0000,40.9000,10.9453,106.8246
