tmax,rain_sum,wind_gusts_max,date,apparent_tmax,wind_speed_max,tmin,prcp,radiation_sum,wind_dir_dominant,sunshine_duration,evapo_et0,apparent_tmin,precip_hours,latitude,longitude
29.4000,9.9000,48.2000,2020-08-03,32.6000,20.8000,24.8000,9.9000,9.6100,228.0000,12104.9150,2.1200,28.9000,23.0000,10.5216,105.1259
29.6000,6.2000,50.4000,2020-08-04,32.9000,21.0000,24.6000,6.2000,14.1300,231.0000,28359.1700,3.0100,29.0000,12.0000,10.5216,105.1259
30.3000,23.4500,43.6000,2020-08-05,35.8000,13.8000,24.9000,23.4500,12.2100,242.0000,22961.7200,2.6200,29.5000,17.0000,10.5216,105.1259
30.0000,20.3000,35.3000,2020-08-06,36.0000,15.7000,25.0000,20.3000,9.0600,238.0000,12104.9150,2.0300,30.3000,21.0000,10.5216,105.1259
30.8000,10.7000,38.5000,2020-08-07,36.7000,19.0000,24.9000,10.7000,14.4100,245.0000,28231.0100,3.0300,30.1000,16.0000,10.5216,105.1259
28.3000,7.1000,41.4000,2020-08-08,32.7000,20.0000,25.2000,7.1000,9.4700,239.0000,13423.9700,2.1600,30.0000,10.0000,10.5216,105.1259
31.0000,8.3000,45.4000,2020-08-09,35.9000,18.5000,25.1000,8.3000,15.3900,225.0000,28690.4900,3.3800,30.5000,6.0000,10.5216,105.1259
28.8000,17.7000,48.2000,2020-08-10,33.0000,19.4000,24.4000,17.7000,10.6500,231.0000,15199.2900,2.2600,28.7000,17.0000,10.5216,105.1259
32.5000,0.7000,42.5000,2020-08-11,38.2000,18.7000,25.5000,0.7000,20.7400,237.0000,36985.3500,4.7400,30.2000,4.0000,10.5216,105.1259
30.5000,11.6000,33.1000,2020-08-12,37.5000,14.8000,26.1000,11.6000,15.4600,215.0000,19027.4900,3.3300,30.8000,9.0000,10.5216,105.1259
29.9000,12.7000,33.5000,2020-08-13,36.4000,14.8000,25.0000,12.7000,13.9800,217.0000,21340.7900,2.8500,29.4000,16.0000,10.5216,105.1259
30.1000,12.9000,28.4000,2020-08-14,35.5000,12.2000,24.3000,12.9000,13.8500,218.0000,25081.1700,2.8700,29.1000,18.0000,10.5216,105.1259
32.2000,6.0000,26.6000,2020-08-15,38.2000,9.0000,24.2000,6.0000,19.6700,323.0000,38779.7900,4.1700,29.9000,11.0000,10.5216,105.1259
31.6000,10.7000,33.1000,2020-08-16,39.4000,11.8000,24.2000,10.7000,19.9400,236.0000,34074.5600,4.2500,29.4000,12.0000,10.5216,105.1259
31.4000,3.0000,31.7000,2020-08-17,36.6000,15.0000,25.0000,3.0000,18.6500,240.0000,34237.5700,4.1200,30.7000,5.0000,10.5216,105.1259
32.4000,2.0000,37.8000,2020-08-18,37.1000,17.9000,25.5000,2.0000,19.8100,237.0000,37933.7000,4.5000,31.1000,5.0000,10.5216,105.1259
29.8000,2.9000,30.2000,2020-08-19,33.7000,14.2000,24.7000,2.9000,8.3700,227.0000,12104.9150,2.1100,29.2000,14.0000,10.5216,105.1259
31.5000,0.8000,33.1000,2020-08-20,36.0000,15.0000,25.6000,0.8000,12.7400,236.0000,19649.4000,3.0500,31.2000,6.0000,10.5216,105.1259
33.2000,0.3000,28.1000,2020-08-21,37.5000,13.8000,25.7000,0.3000,21.7700,241.0000,42195.9200,5.0500,31.4000,3.0000,10.5216,105.1259
32.3000,0.6000,41.4000,2020-08-22,36.5000,20.9000,24.9000,0.6000,21.8300,227.0000,42167.3000,4.9700,30.3000,3.0000,10.5216,105.1259
32.3000,3.3000,39.2000,2020-08-23,38.5000,17.8000,25.7000,3.3000,20.2900,221.0000,42138.3000,4.5500,31.2000,4.0000,10.5216,105.1259
33.4000,1.4000,29.2000,2020-08-24,40.0000,13.0000,25.3000,1.4000,20.9600,226.0000,39391.4900,4.7400,30.9000,2.0000,10.5216,105.1259
33.5000,1.1000,34.2000,2020-08-25,39.3000,16.1000,25.9000,1.1000,21.9000,227.0000,42079.2600,5.0900,31.5000,3.0000,10.5216,105.1259
33.3000,0.1000,36.0000,2020-08-26,39.1000,17.9000,26.1000,0.1000,21.9200,237.0000,42049.2500,5.2800,31.3000,1.0000,10.5216,105.1259
32.6000,3.1000,42.5000,2020-08-27,38.2000,20.8000,26.6000,3.1000,20.5300,235.0000,40127.7600,5.0800,31.5000,5.0000,10.5216,105.1259
32.0000,1.4000,45.0000,2020-08-28,37.4000,21.5000,26.3000,1.4000,17.0200,231.0000,35674.4300,4.1400,31.1000,7.0000,10.5216,105.1259
32.1000,4.8000,42.1000,2020-08-29,37.6000,20.4000,25.4000,4.8000,18.8800,223.0000,41957.5600,4.2000,31.2000,6.0000,10.5216,105.1259
32.5000,9.9000,37.1000,2020-08-30,39.2000,17.6000,25.8000,9.9000,18.4600,210.0000,36765.2800,4.0200,31.6000,9.0000,10.5216,105.1259
33.0000,1.3000,37.8000,2020-08-31,39.6000,16.1000,25.2000,1.3000,20.2400,218.0000,38653.4800,4.5900,31.4000,3.0000,10.5216,105.1259
