date,tmax,tmin,prcp,apparent_tmax,apparent_tmin,rain_sum,precip_hours,wind_speed_max,wind_gusts_max,wind_dir_dominant,radiation_sum,evapo_et0,sunshine_duration,latitude,longitude
2020-05-05,35.6000,26.1000,0.0000,44.8000,32.2000,0.0000,0.0000,11.4000,25.9000,160.0000,22.6800,5.0800,42600.6000,20.8171,105.3376
2020-05-06,36.3000,27.3000,0.0000,46.3000,33.6000,0.0000,0.0000,12.3000,26.6000,156.0000,23.0800,5.2200,43200.0000,20.8171,105.3376
2020-05-07,36.6000,27.6000,0.0000,47.0000,34.7000,0.0000,0.0000,12.1000,27.4000,163.0000,22.8600,5.3200,42838.5600,20.8171,105.3376
2020-05-08,37.5000,28.0000,0.0000,46.4000,35.3000,0.0000,0.0000,9.2000,22.0000,184.0000,19.6900,4.6300,37931.3200,20.8171,105.3376
2020-05-09,37.4000,28.0000,0.0000,45.2000,35.7000,0.0000,0.0000,12.3000,27.0000,203.0000,22.9400,5.4400,39703.2300,20.8171,105.3376
2020-05-10,36.1000,27.6000,0.0000,44.3000,34.1000,0.0000,0.0000,9.2000,23.0000,148.0000,20.4000,4.7900,35612.3800,20.8171,105.3376
2020-05-11,34.8000,26.6000,0.0000,43.9000,33.5000,0.0000,0.0000,10.2000,25.9000,126.0000,19.8500,4.4500,42498.0000,20.8171,105.3376
2020-05-12,27.7000,25.1000,13.1875,34.8000,30.0000,13.1875,15.0000,14.6000,32.8000,41.0000,9.2700,2.0100,10112.9800,20.8171,105.3376
2020-05-13,31.6000,25.6000,6.7000,39.2000,31.4000,6.7000,10.0000,12.8000,34.6000,166.0000,17.2900,3.6500,32263.4800,20.8171,105.3376
2020-05-14,33.5000,25.6000,0.1000,41.1000,30.5000,0.1000,1.0000,14.8000,32.0000,188.0000,21.3700,4.6300,40230.2200,20.8171,105.3376
2020-05-15,35.1000,26.2000,0.0000,42.6000,32.4000,0.0000,0.0000,13.4000,29.2000,177.0000,23.6800,5.2900,43200.0000,20.8171,105.3376
2020-05-16,33.6000,25.9000,1.7000,42.6000,32.5000,1.7000,2.0000,9.4000,22.0000,156.0000,21.9600,4.7100,43200.0000,20.8171,105.3376
2020-05-17,31.5000,25.6000,13.1875,40.0000,31.2000,13.1875,13.0000,10.2000,31.3000,64.0000,14.5900,3.1200,25013.5100,20.8171,105.3376
2020-05-18,31.4000,26.6000,0.8000,38.0000,33.5000,0.8000,4.0000,11.7000,25.9000,56.0000,16.7200,3.5000,37366.4000,20.8171,105.3376
