date,tmax,tmin,prcp,apparent_tmax,apparent_tmin,rain_sum,precip_hours,wind_speed_max,wind_gusts_max,wind_dir_dominant,radiation_sum,evapo_et0,sunshine_duration,latitude,longitude
2020-05-05,33.7000,25.5000,0.0000,41.3000,31.1000,0.0000,0.0000,12.3000,22.7000,129.0000,17.7800,4.0400,29429.2100,21.7056,104.8945
2020-05-06,34.4000,26.4000,0.0000,42.7000,32.4000,0.0000,0.0000,14.6000,26.3000,127.0000,19.4700,4.4700,37240.2100,21.7056,104.8945
2020-05-07,34.8000,27.1000,0.0000,43.9000,33.7000,0.0000,0.0000,11.8000,24.1000,131.0000,19.1400,4.4300,32400.0000,21.7056,104.8945
2020-05-08,33.8000,27.3000,0.0000,42.7000,33.8000,0.0000,0.0000,12.7000,24.1000,129.0000,17.9100,4.0000,37417.0100,21.7056,104.8945
2020-05-09,35.3000,27.2000,0.0000,44.2000,34.1000,0.0000,0.0000,9.6000,22.7000,124.0000,18.9000,4.3100,38958.1700,21.7056,104.8945
2020-05-10,35.2000,27.8000,0.0000,44.3000,34.7000,0.0000,0.0000,18.4000,36.4000,106.0000,23.0300,5.2700,43200.0000,21.7056,104.8945
2020-05-11,33.5000,27.3000,0.3000,40.0000,34.0000,0.3000,3.0000,14.2000,25.6000,119.0000,15.8000,3.7300,33690.9500,21.7056,104.8945
2020-05-12,29.4000,24.8000,18.6875,34.2000,29.5000,18.6875,10.0000,11.2000,24.1000,113.0000,16.6600,3.5800,25687.9100,21.7056,104.8945
2020-05-13,30.8000,25.4000,9.0000,37.2000,29.5000,9.0000,15.0000,18.6000,33.5000,139.0000,15.3800,3.2200,27672.6300,21.7056,104.8945
2020-05-14,32.7000,25.3000,0.4000,39.9000,30.3000,0.4000,2.0000,12.0000,23.8000,122.0000,19.7000,4.3000,35843.2900,21.7056,104.8945
2020-05-15,33.2000,25.3000,0.2000,40.8000,31.1000,0.2000,2.0000,13.8000,25.2000,131.0000,19.8200,4.4100,31772.1400,21.7056,104.8945
2020-05-16,32.6000,26.6000,2.5000,40.2000,32.9000,2.5000,3.0000,11.8000,23.0000,125.0000,19.6500,4.3400,37030.1200,21.7056,104.8945
2020-05-17,31.4000,25.2000,18.6875,39.0000,30.7000,18.6875,13.0000,12.4000,25.2000,96.0000,16.2700,3.5400,29951.9500,21.7056,104.8945
2020-05-18,31.9000,24.6000,3.0000,37.9000,29.3000,3.0000,7.0000,15.9000,29.5000,28.0000,21.7800,4.6200,42354.2300,21.7056,104.8945
2020-05-19,31.7000,24.8000,18.6875,38.1000,30.2000,18.6875,11.0000,12.7000,24.8000,120.0000,13.3700,3.0300,22341.9500,21.7056,104.8945
2020-05-20,34.2000,26.8000,0.9000,42.3000,32.5000,0.9000,6.0000,13.2000,26.6000,139.0000,17.3300,3.8700,31289.3900,21.7056,104.8945
2020-05-21,36.9000,27.9000,0.0000,47.0000,35.9000,0.0000,0.0000,6.1000,14.4000,237.0000,24.2800,5.4800,40883.6000,21.7056,104.8945
2020-05-22,32.0000,27.3000,7.7000,40.5000,33.7000,7.7000,10.0000,12.2000,24.8000,105.0000,15.5000,3.4800,26809.2400,21.7056,104.8945
2020-05-23,30.3000,25.8000,10.5000,37.2000,31.4000,10.5000,20.0000,9.7000,19.1000,130.0000,13.9300,3.0000,22211.9800,21.7056,104.8945
2020-05-24,32.6000,25.6000,4.1000,40.1000,31.3000,4.1000,10.0000,13.1000,25.9000,138.0000,18.4000,4.0600,36866.1200,21.7056,104.8945
2020-05-25,32.9000,26.4000,11.0000,42.1000,31.9000,11.0000,11.0000,11.6000,24.1000,36.0000,17.0000,3.7000,24678.7500,21.7056,104.8945
2020-05-26,31.6000,25.3000,9.4000,37.2000,29.9000,9.4000,10.0000,10.4000,19.4000,136.0000,18.1700,3.9300,38688.2000,21.7056,104.8945
2020-05-27,29.5000,24.4000,4.2000,34.4000,29.2000,4.2000,11.0000,9.6000,17.3000,205.0000,16.8800,3.5300,36000.0000,21.7056,104.8945
2020-05-28,29.9000,23.6000,1.8000,35.4000,28.3000,1.8000,9.0000,6.9000,22.7000,260.0000,15.3400,3.1800,26868.1400,21.7056,104.8945
2020-05-29,30.7000,24.8000,0.8000,37.5000,30.3000,0.8000,3.0000,11.2000,22.0000,94.0000,14.3900,3.1500,19385.4100,21.7056,104.8945
2020-05-30,32.3000,25.2000,0.1000,40.3000,30.1000,0.1000,1.0000,11.8000,23.0000,93.0000,18.7900,4.1300,34688.9700,21.7056,104.8945
2020-05-31,32.4000,26.0000,0.0000,40.1000,31.3000,0.0000,0.0000,11.7000,21.2000,67.0000,18.1800,4.0400,36903.1200,21.7056,104.8945
2020-06-01,33.4000,26.0000,0.0000,41.1000,31.9000,0.0000,0.0000,10.5000,27.0000,102.0000,22.1600,4.9000,43200.0000,21.7056,104.8945
2020-06-02,34.4000,26.0000,0.0000,41.5000,32.6000,0.0000,0.0000,12.0000,21.6000,140.0000,21.9100,5.0700,42438.9600,21.7056,104.8945
2020-06-03,33.5000,26.4000,2.3000,41.2000,32.7000,2.3000,2.0000,11.3000,21.6000,87.0000,22.5600,5.0200,43200.0000,21.7056,104.8945
