date,tmax,tmin,prcp,apparent_tmax,apparent_tmin,rain_sum,precip_hours,wind_speed_max,wind_gusts_max,wind_dir_dominant,radiation_sum,evapo_et0,sunshine_duration,latitude,longitude
2020-05-27,34.0000,25.1000,12.3000,41.7000,31.2000,12.3000,8.0000,9.8000,29.9000,182.0000,22.6900,4.8900,39600.0000,11.3254,106.4770
2020-05-28,31.4000,23.9000,20.4000,39.3000,28.0000,20.4000,15.0000,9.5000,21.6000,150.0000,15.5900,3.3000,22993.1900,11.3254,106.4770
2020-05-29,32.6000,24.7000,11.1000,40.6000,30.2000,11.1000,13.0000,10.9000,25.2000,151.0000,20.8800,4.4200,40731.5400,11.3254,106.4770
2020-05-30,31.8000,24.4000,4.4000,39.7000,30.0000,4.4000,9.0000,10.6000,22.3000,131.0000,18.3100,3.8900,34472.3600,11.3254,106.4770
2020-05-31,32.7000,25.4000,5.9000,39.7000,31.7000,5.9000,8.0000,9.1000,28.8000,153.0000,20.0500,4.2600,34420.0200,11.3254,106.4770
2020-06-01,31.8000,24.6000,12.4000,41.6000,30.1000,12.4000,16.0000,8.9000,20.9000,147.0000,21.8200,4.5900,38980.3800,11.3254,106.4770
2020-06-02,31.6000,24.0000,14.2000,38.3000,28.8000,14.2000,17.0000,10.2000,25.6000,185.0000,21.4200,4.4600,35539.9600,11.3254,106.4770
2020-06-03,31.6000,24.2000,16.9000,39.3000,29.7000,16.9000,13.0000,11.6000,26.6000,148.0000,18.6600,3.8800,36668.6200,11.3254,106.4770
2020-06-04,32.3000,24.8000,7.7000,40.2000,30.3000,7.7000,7.0000,13.4000,36.4000,163.0000,19.5300,4.0600,31345.9900,11.3254,106.4770
2020-06-05,31.9000,23.9000,4.8000,40.0000,29.1000,4.8000,7.0000,12.0000,28.8000,180.0000,20.2700,4.2100,38455.8400,11.3254,106.4770
2020-06-06,31.6000,25.4000,5.4000,38.2000,31.6000,5.4000,6.0000,12.7000,34.9000,199.0000,19.6100,4.0700,34836.3600,11.3254,106.4770
2020-06-07,32.3000,24.8000,9.8000,39.4000,31.0000,9.8000,5.0000,10.4000,27.7000,194.0000,21.3700,4.4600,36162.9500,11.3254,106.4770
2020-06-08,31.6000,24.7000,0.8000,40.4000,30.3000,0.8000,5.0000,7.6000,22.7000,217.0000,21.0400,4.4300,42845.9800,11.3254,106.4770
2020-06-09,32.4000,25.6000,4.8000,40.2000,31.0000,4.8000,8.0000,11.5000,23.0000,191.0000,23.0500,4.9300,42862.2500,11.3254,106.4770
2020-06-10,31.3000,24.5000,24.6000,38.7000,29.5000,24.6000,24.0000,14.6000,37.1000,153.0000,15.1500,3.1400,24150.9500,11.3254,106.4770
2020-06-11,30.2000,24.9000,12.2000,37.8000,30.1000,12.2000,14.0000,9.8000,25.9000,200.0000,16.5000,3.4100,24071.6900,11.3254,106.4770
2020-06-12,31.8000,24.7000,8.0000,39.0000,30.2000,8.0000,8.0000,10.0000,26.6000,214.0000,20.2500,4.2400,34414.8900,11.3254,106.4770
2020-06-13,31.2000,24.2000,25.6000,39.2000,29.6000,25.6000,19.0000,11.0000,29.9000,185.0000,17.8700,3.7000,32400.0000,11.3254,106.4770
2020-06-14,29.9000,24.8000,17.3000,37.1000,29.9000,17.3000,22.0000,16.0000,35.6000,177.0000,14.6800,2.9600,25258.1800,11.3254,106.4770
2020-06-15,30.8000,24.5000,10.6000,36.7000,29.8000,10.6000,20.0000,12.0000,32.8000,171.0000,15.1800,3.1200,20022.1300,11.3254,106.4770
2020-06-16,29.5000,24.6000,9.0000,35.9000,29.5000,9.0000,12.0000,10.6000,27.4000,156.0000,12.3000,2.5700,21446.0100,11.3254,106.4770
2020-06-17,31.1000,24.8000,0.3000,38.1000,30.9000,0.3000,3.0000,10.0000,23.8000,292.0000,21.6700,4.4800,35894.0200,11.3254,106.4770
2020-06-18,31.1000,24.0000,9.8000,37.9000,29.0000,9.8000,11.0000,10.0000,29.9000,266.0000,20.1900,4.2100,38467.6000,11.3254,106.4770
2020-06-19,31.4000,25.0000,1.7000,39.8000,30.0000,1.7000,11.0000,8.9000,21.6000,180.0000,20.2500,4.2200,35168.2500,11.3254,106.4770
2020-06-20,31.2000,24.8000,30.3500,39.2000,30.2000,30.3500,21.0000,13.7000,25.6000,145.0000,18.8200,3.8900,35400.1600,11.3254,106.4770
2020-06-21,31.5000,24.8000,20.0000,39.2000,30.2000,20.0000,17.0000,13.0000,27.0000,171.0000,18.0200,3.7600,31386.6800,11.3254,106.4770
2020-06-22,31.1000,24.5000,8.4000,38.4000,30.0000,8.4000,10.0000,11.9000,28.4000,156.0000,18.1400,3.7400,31775.9400,11.3254,106.4770
2020-06-23,32.2000,24.2000,0.5000,39.1000,29.7000,0.5000,2.0000,9.1000,23.0000,165.0000,22.1500,4.6800,42693.5200,11.3254,106.4770
2020-06-24,32.2000,24.7000,14.8000,40.0000,29.9000,14.8000,12.0000,10.6000,24.8000,169.0000,21.1200,4.4100,43071.6800,11.3254,106.4770
2020-06-25,31.9000,23.6000,4.4000,39.7000,28.5000,4.4000,10.0000,12.2000,26.3000,167.0000,20.6000,4.2100,40395.8300,11.3254,106.4770
2020-06-26,30.7000,24.0000,8.3000,37.0000,29.4000,8.3000,12.0000,13.4000,28.1000,188.0000,20.1500,4.1200,35254.9200,11.3254,106.4770
2020-06-27,30.0000,23.5000,6.8000,37.4000,28.8000,6.8000,9.0000,11.6000,24.5000,171.0000,15.8700,3.2700,31626.8800,11.3254,106.4770
2020-06-28,28.1000,24.2000,17.8000,34.0000,29.3000,17.8000,23.0000,10.1000,28.4000,163.0000,11.1400,2.2800,14521.0550,11.3254,106.4770
2020-06-29,28.2000,24.1000,26.3000,34.0000,29.2000,26.3000,23.0000,14.7000,36.7000,194.0000,10.6500,2.1500,14521.0550,11.3254,106.4770
2020-06-30,28.3000,24.1000,12.3000,34.7000,29.1000,12.3000,20.0000,9.9000,37.8000,223.0000,9.8800,1.8500,14521.0550,11.3254,106.4770
2020-07-01,30.5000,24.0000,13.5000,37.9000,29.7000,13.5000,9.0000,13.3000,39.6000,239.0000,18.1800,3.7000,26353.9300,11.3254,106.4770
2020-07-02,30.4000,24.8000,22.4000,37.4000,30.0000,22.4000,14.0000,12.0000,35.3000,231.0000,16.4600,3.3100,23779.6800,11.3254,106.4770
2020-07-03,28.1000,24.4000,30.0000,34.0000,29.2000,30.0000,21.0000,13.6000,28.4000,209.0000,9.8800,1.6000,14521.0550,11.3254,106.4770
2020-07-04,29.8000,23.2000,0.0000,34.4000,27.8000,0.0000,0.0000,13.8000,36.0000,263.0000,15.6700,3.2900,34524.1100,11.3254,106.4770
2020-07-05,31.2000,23.9000,3.6000,38.3000,29.4000,3.6000,7.0000,10.7000,30.6000,276.0000,21.1500,4.3900,31458.3500,11.3254,106.4770
2020-07-06,29.1000,24.0000,19.7000,36.2000,29.0000,19.7000,17.0000,15.3000,30.6000,152.0000,17.6600,3.4500,36641.7100,11.3254,106.4770
2020-07-07,31.1000,24.3000,6.6000,38.4000,29.5000,6.6000,11.0000,14.3000,37.4000,151.0000,20.5600,4.1300,40895.7000,11.3254,106.4770
2020-07-08,30.4000,23.3000,1.2000,37.0000,28.2000,1.2000,7.0000,11.4000,25.9000,167.0000,15.3600,3.2200,34518.5900,11.3254,106.4770
2020-07-09,31.9000,24.1000,1.6000,39.3000,29.6000,1.6000,3.0000,13.9000,25.6000,208.0000,21.1200,4.5100,36315.4700,11.3254,106.4770
2020-07-10,31.2000,25.0000,10.3000,39.0000,30.2000,10.3000,10.0000,12.3000,28.4000,164.0000,18.0700,3.7300,31768.6600,11.3254,106.4770
2020-07-11,31.8000,23.9000,6.0000,39.6000,29.3000,6.0000,8.0000,15.1000,31.3000,162.0000,19.6200,4.0900,32645.2000,11.3254,106.4770
2020-07-12,31.1000,24.2000,18.6000,38.7000,29.6000,18.6000,14.0000,10.4000,26.3000,174.0000,20.2500,4.2000,33247.5300,11.3254,106.4770
2020-07-13,29.5000,23.6000,18.9000,35.9000,28.8000,18.9000,14.0000,12.8000,31.7000,172.0000,15.4400,3.0600,26568.3600,11.3254,106.4770
2020-07-14,30.2000,24.4000,2.2000,36.8000,29.9000,2.2000,9.0000,13.2000,25.6000,294.0000,16.4100,3.4000,33682.0100,11.3254,106.4770
2020-07-15,30.6000,23.9000,2.0000,38.3000,27.8000,2.0000,5.0000,13.0000,25.9000,196.0000,17.2900,3.6200,26536.4200,11.3254,106.4770
2020-07-16,30.0000,24.8000,13.4000,36.7000,30.1000,13.4000,16.0000,11.3000,27.7000,153.0000,17.4500,3.5600,40429.9300,11.3254,106.4770
2020-07-17,31.0000,24.4000,5.2000,39.3000,30.0000,5.2000,11.0000,12.1000,27.4000,157.0000,19.4800,3.9100,39578.8400,11.3254,106.4770
2020-07-18,31.3000,24.6000,12.6000,39.8000,29.6000,12.6000,14.0000,10.1000,27.0000,166.0000,20.4500,4.1600,40434.5200,11.3254,106.4770
2020-07-19,32.2000,23.9000,2.5000,40.7000,29.2000,2.5000,10.0000,9.6000,21.6000,146.0000,22.0400,4.6200,43055.8600,11.3254,106.4770
2020-07-20,31.7000,23.8000,14.7000,40.5000,29.2000,14.7000,15.0000,9.0000,23.0000,111.0000,19.4100,4.0100,39411.2800,11.3254,106.4770
2020-07-21,30.8000,23.8000,16.1000,39.0000,29.0000,16.1000,13.0000,14.0000,29.2000,141.0000,17.7200,3.5900,32708.8500,11.3254,106.4770
2020-07-22,31.3000,23.9000,1.7000,38.6000,29.1000,1.7000,7.0000,9.4000,23.4000,161.0000,22.9000,4.7300,43058.1100,11.3254,106.4770
2020-07-23,31.3000,24.3000,20.6000,39.3000,28.9000,20.6000,17.0000,10.2000,23.0000,136.0000,18.5700,3.8800,37948.8800,11.3254,106.4770
