date,tmax,tmin,prcp,apparent_tmax,apparent_tmin,rain_sum,precip_hours,wind_speed_max,wind_gusts_max,wind_dir_dominant,radiation_sum,evapo_et0,sunshine_duration,latitude,longitude
2020-05-25,31.8000,26.7000,4.1000,38.6000,33.2000,4.1000,10.0000,11.9000,23.8000,177.0000,17.9700,3.8600,39472.9400,10.7769,106.7009
2020-05-26,34.8000,26.3000,0.0000,41.2000,32.9000,0.0000,0.0000,13.6000,22.7000,193.0000,23.6300,5.2900,42546.6400,10.7769,106.7009
2020-05-27,33.4000,26.7000,16.1000,40.2000,33.1000,16.1000,10.0000,12.4000,23.0000,242.0000,20.2700,4.4600,37499.8700,10.7769,106.7009
2020-05-28,31.9000,25.0000,19.9000,39.2000,30.2000,19.9000,14.0000,11.3000,23.0000,154.0000,14.7800,3.2500,17996.8300,10.7769,106.7009
2020-05-29,32.3000,26.3000,3.1000,37.9000,32.2000,3.1000,11.0000,15.1000,25.9000,161.0000,20.1200,4.3500,40173.6900,10.7769,106.7009
2020-05-30,31.7000,26.2000,16.5000,40.0000,32.6000,16.5000,8.0000,11.0000,24.5000,137.0000,16.4100,3.5200,29271.2700,10.7769,106.7009
2020-05-31,31.3000,26.4000,4.0000,37.9000,32.9000,4.0000,9.0000,12.7000,28.8000,128.0000,18.9100,3.9800,41450.6400,10.7769,106.7009
2020-06-01,32.4000,25.4000,21.5000,40.9000,31.0000,21.5000,18.0000,14.8000,26.6000,317.0000,20.5600,4.3900,32117.6000,10.7769,106.7009
2020-06-02,31.4000,24.5000,21.6000,39.4000,29.1000,21.6000,21.0000,10.2000,24.1000,160.0000,16.4900,3.5300,34253.3100,10.7769,106.7009
2020-06-03,32.2000,25.7000,25.6000,40.1000,31.4000,25.6000,10.0000,14.1000,26.6000,169.0000,17.6100,3.7600,32367.6200,10.7769,106.7009
2020-06-04,31.8000,25.7000,9.2000,39.1000,31.6000,9.2000,11.0000,14.4000,29.5000,169.0000,18.3600,3.8200,34552.5700,10.7769,106.7009
2020-06-05,32.1000,25.4000,25.6000,40.9000,31.5000,25.6000,8.0000,14.5000,28.1000,198.0000,18.5200,3.9200,31213.4000,10.7769,106.7009
2020-06-06,32.1000,25.7000,13.3000,38.5000,31.8000,13.3000,10.0000,14.6000,34.2000,206.0000,18.6700,3.9400,36885.3600,10.7769,106.7009
2020-06-07,32.4000,25.6000,5.0000,39.3000,32.0000,5.0000,4.0000,13.6000,28.8000,222.0000,20.8400,4.4500,39268.4300,10.7769,106.7009
2020-06-08,31.6000,25.4000,1.5000,39.4000,30.9000,1.5000,10.0000,9.6000,18.7000,240.0000,19.8800,4.1900,41458.6200,10.7769,106.7009
2020-06-09,31.5000,26.4000,5.8000,38.2000,32.0000,5.8000,10.0000,11.6000,20.5000,207.0000,17.2200,3.7900,35870.8300,10.7769,106.7009
2020-06-10,29.7000,24.9000,20.4000,36.0000,30.2000,20.4000,20.0000,13.5000,25.2000,165.0000,14.0000,2.9000,25730.9700,10.7769,106.7009
2020-06-11,28.9000,25.4000,10.3000,35.4000,31.2000,10.3000,14.0000,9.1000,26.6000,220.0000,11.2500,2.4000,14806.9125,10.7769,106.7009
2020-06-12,31.6000,25.5000,1.5000,37.4000,31.4000,1.5000,5.0000,16.0000,28.4000,253.0000,20.4600,4.3600,39600.0000,10.7769,106.7009
2020-06-13,31.9000,24.9000,25.6000,39.0000,30.2000,25.6000,20.0000,14.2000,32.8000,249.0000,16.8400,3.5200,28800.0000,10.7769,106.7009
2020-06-14,30.5000,25.5000,25.6000,36.2000,30.0000,25.6000,18.0000,19.0000,33.1000,193.0000,13.1700,2.8300,21409.8800,10.7769,106.7009
2020-06-15,30.4000,25.4000,18.0000,36.8000,31.3000,18.0000,17.0000,14.7000,31.7000,168.0000,14.1900,2.9500,20845.1200,10.7769,106.7009
2020-06-16,30.9000,24.9000,16.5000,38.6000,30.3000,16.5000,15.0000,15.1000,32.4000,166.0000,15.2000,3.1800,24929.7500,10.7769,106.7009
2020-06-17,32.0000,25.1000,2.0000,39.0000,31.2000,2.0000,9.0000,10.9000,24.8000,284.0000,22.2700,4.6200,38847.6600,10.7769,106.7009
2020-06-18,31.5000,25.0000,17.6000,39.8000,30.3000,17.6000,13.0000,13.0000,29.5000,301.0000,19.9000,4.1600,35094.1100,10.7769,106.7009
2020-06-19,30.9000,25.6000,6.8000,39.7000,30.6000,6.8000,15.0000,11.9000,18.4000,179.0000,18.0700,3.7600,37306.6100,10.7769,106.7009
2020-06-20,30.6000,25.6000,14.3000,37.6000,30.9000,14.3000,19.0000,15.5000,26.3000,156.0000,17.0600,3.5600,28027.5300,10.7769,106.7009
2020-06-21,31.8000,25.5000,11.4000,39.1000,31.4000,11.4000,15.0000,11.9000,23.8000,206.0000,17.2200,3.6600,32107.5000,10.7769,106.7009
2020-06-22,30.7000,25.4000,6.8000,37.2000,31.4000,6.8000,7.0000,14.4000,26.3000,160.0000,16.6500,3.4400,35444.0900,10.7769,106.7009
