date,tmax,tmin,prcp,apparent_tmax,apparent_tmin,rain_sum,precip_hours,wind_speed_max,wind_gusts_max,wind_dir_dominant,radiation_sum,evapo_et0,sunshine_duration,latitude,longitude
2020-05-05,34.9000,23.5000,0.0000,41.2000,27.9000,0.0000,0.0000,12.9000,30.2000,164.0000,24.5900,5.5400,43200.0000,22.6657,106.2570
2020-05-06,35.3000,24.1000,0.0000,42.0000,28.6000,0.0000,0.0000,15.2000,36.4000,158.0000,24.2800,5.5500,43200.0000,22.6657,106.2570
2020-05-07,35.5000,24.3000,0.0000,42.2000,28.9000,0.0000,0.0000,14.3000,35.3000,159.0000,23.9400,5.5400,43200.0000,22.6657,106.2570
2020-05-08,35.9000,25.2000,0.0000,41.9000,30.4000,0.0000,0.0000,14.3000,34.2000,156.0000,21.6800,5.1400,43200.0000,22.6657,106.2570
2020-05-09,36.0000,25.7000,0.0000,41.6000,31.1000,0.0000,0.0000,12.7000,31.0000,170.0000,22.4300,5.3300,43200.0000,22.6657,106.2570
2020-05-10,34.0000,24.8000,2.0000,41.8000,30.3000,2.0000,2.0000,13.9000,33.5000,126.0000,18.8400,4.1600,35636.5700,22.6657,106.2570
2020-05-11,33.9000,24.5000,16.2500,40.0000,29.3000,16.2500,10.0000,14.0000,33.5000,152.0000,19.2900,4.3000,38130.0900,22.6657,106.2570
2020-05-12,29.0000,22.9000,16.2500,32.6000,26.8000,16.2500,7.0000,12.8000,32.8000,125.0000,16.5500,3.5500,31632.5200,22.6657,106.2570
2020-05-13,30.8000,23.5000,4.8000,35.1000,27.4000,4.8000,15.0000,16.2000,40.7000,157.0000,16.7500,3.6900,26867.4900,22.6657,106.2570
2020-05-14,33.4000,23.7000,0.6000,36.8000,27.5000,0.6000,5.0000,15.4000,37.1000,159.0000,18.6300,4.4300,30669.0700,22.6657,106.2570
2020-05-15,33.5000,25.2000,3.4000,38.2000,29.7000,3.4000,6.0000,14.3000,38.9000,163.0000,20.9900,4.8400,39600.0000,22.6657,106.2570
2020-05-16,32.0000,23.9000,16.2500,38.0000,28.9000,16.2500,17.0000,12.6000,37.1000,120.0000,18.1900,3.9200,36371.3700,22.6657,106.2570
2020-05-17,28.7000,23.5000,5.8000,34.6000,28.6000,5.8000,12.0000,7.6000,27.0000,132.0000,13.0200,2.7100,17664.3100,22.6657,106.2570
2020-05-18,30.7000,23.1000,16.2500,37.5000,27.7000,16.2500,13.0000,8.9000,23.8000,118.0000,20.7900,4.3200,39600.0000,22.6657,106.2570
2020-05-19,31.1000,23.2000,7.5000,38.7000,28.3000,7.5000,14.0000,12.7000,29.9000,130.0000,19.4800,4.1100,43200.0000,22.6657,106.2570
2020-05-20,33.7000,24.6000,4.5000,39.4000,29.9000,4.5000,13.0000,12.5000,30.2000,156.0000,17.9800,4.1000,31565.5700,22.6657,106.2570
2020-05-21,37.1000,24.9000,3.9000,46.2000,31.0000,3.9000,3.0000,10.6000,34.2000,135.0000,23.6600,5.4500,43496.7800,22.6657,106.2570
2020-05-22,33.4000,25.0000,13.1000,39.3000,31.1000,13.1000,6.0000,10.1000,22.3000,70.0000,20.0700,4.4300,35790.9100,22.6657,106.2570
2020-05-23,30.5000,24.9000,9.5000,36.1000,30.7000,9.5000,14.0000,6.7000,19.4000,134.0000,13.6400,2.9600,19455.7600,22.6657,106.2570
2020-05-24,31.7000,24.5000,16.2500,38.0000,30.2000,16.2500,16.0000,9.5000,28.8000,118.0000,17.3400,3.7400,35853.8200,22.6657,106.2570
2020-05-25,31.4000,24.7000,15.3000,36.8000,30.1000,15.3000,16.0000,9.9000,31.0000,86.0000,16.2500,3.4900,33404.0000,22.6657,106.2570
2020-05-26,28.9000,23.4000,2.7000,33.4000,27.1000,2.7000,5.0000,9.1000,23.4000,135.0000,14.8600,3.2000,25446.1900,22.6657,106.2570
2020-05-27,30.2000,22.4000,16.2500,34.5000,26.7000,16.2500,6.0000,10.8000,25.6000,231.5000,17.1600,3.6500,38065.3400,22.6657,106.2570
2020-05-28,30.0000,22.6000,0.1000,34.9000,26.3000,0.1000,1.0000,6.2000,15.5000,231.5000,17.2200,3.6000,29941.3200,22.6657,106.2570
2020-05-29,29.6000,23.1000,2.9000,35.5000,27.6000,2.9000,12.0000,14.4000,33.8000,152.0000,14.4200,3.0900,19097.4200,22.6657,106.2570
2020-05-30,31.6000,24.1000,10.6000,39.0000,29.7000,10.6000,14.0000,8.9000,29.9000,125.0000,20.0700,4.1800,40231.8600,22.6657,106.2570
2020-05-31,32.9000,24.6000,6.4000,38.8000,30.3000,6.4000,8.0000,10.8000,31.7000,157.0000,19.4700,4.3400,36929.2800,22.6657,106.2570
2020-06-01,32.6000,24.0000,2.8000,40.8000,29.2000,2.8000,7.0000,8.5000,26.6000,111.0000,18.2200,3.8600,36672.6900,22.6657,106.2570
2020-06-02,32.1000,24.6000,11.0000,38.8000,29.9000,11.0000,14.0000,10.8000,32.0000,132.0000,18.7600,4.0000,37526.4800,22.6657,106.2570
2020-06-03,30.1000,24.7000,2.3000,36.5000,30.6000,2.3000,10.0000,8.4000,24.8000,95.0000,14.6600,3.1400,30631.1200,22.6657,106.2570
2020-06-04,32.7000,23.7000,16.2500,39.4000,28.5000,16.2500,17.0000,16.6000,38.2000,126.0000,18.1300,3.9800,32968.2500,22.6657,106.2570
2020-06-05,31.3000,24.5000,5.4000,39.1000,30.1000,5.4000,10.0000,11.8000,41.4000,79.0000,13.4500,2.9000,21820.8700,22.6657,106.2570
2020-06-06,32.5000,23.8000,16.2500,39.5000,29.2000,16.2500,13.0000,9.8000,32.8000,124.0000,16.1200,3.5300,23535.4300,22.6657,106.2570
2020-06-07,34.6000,24.8000,0.1000,40.9000,30.3000,0.1000,1.0000,12.5000,29.2000,158.0000,19.8700,4.5400,37585.2000,22.6657,106.2570
2020-06-08,34.7000,25.4000,0.0000,40.1000,30.7000,0.0000,0.0000,11.1000,27.7000,163.0000,20.1600,4.6600,39600.0000,22.6657,106.2570
2020-06-09,30.9000,25.5000,13.0000,37.8000,31.3000,13.0000,6.0000,7.1000,22.7000,72.0000,11.7800,2.5900,8307.5500,22.6657,106.2570
2020-06-10,29.4000,24.2000,16.2500,36.9000,29.5000,16.2500,18.0000,9.7000,28.4000,111.0000,10.7000,2.2600,6979.1100,22.6657,106.2570
2020-06-11,31.1000,25.2000,1.0000,36.5000,30.5000,1.0000,9.0000,14.0000,34.6000,162.0000,16.1500,3.6100,30032.5200,22.6657,106.2570
2020-06-12,33.3000,26.1000,0.4000,39.4000,31.5000,0.4000,4.0000,13.0000,31.0000,155.0000,20.5300,4.7000,38226.3600,22.6657,106.2570
2020-06-13,33.0000,25.5000,16.2500,40.4000,31.2000,16.2500,14.0000,12.9000,29.2000,125.0000,18.0000,3.9400,37031.4100,22.6657,106.2570
2020-06-14,31.0000,24.5000,10.8000,37.7000,30.2000,10.8000,18.0000,10.6000,26.6000,111.0000,15.5800,3.3100,32255.0300,22.6657,106.2570
2020-06-15,26.7000,24.6000,14.3000,32.6000,29.6000,14.3000,24.0000,9.2000,23.8000,112.0000,5.6300,1.1700,0.0000,22.6657,106.2570
2020-06-16,30.7000,24.6000,7.1000,36.7000,29.4000,7.1000,18.0000,13.9000,36.7000,147.0000,17.5300,3.6400,36000.0000,22.6657,106.2570
2020-06-17,31.7000,25.8000,4.7000,37.2000,30.9000,4.7000,10.0000,13.4000,32.4000,144.0000,18.3500,4.0100,36895.5600,22.6657,106.2570
2020-06-18,30.6000,25.2000,10.7000,37.4000,30.4000,10.7000,14.0000,8.0000,23.8000,117.0000,15.2200,3.1900,34881.1200,22.6657,106.2570
