evapo_et0,wind_gusts_max,tmax,rain_sum,radiation_sum,apparent_tmin,apparent_tmax,wind_dir_dominant,wind_speed_max,tmin,prcp,date,sunshine_duration,precip_hours,latitude,longitude
4.4900,39.6000,34.7000,8.3000,19.3400,31.4000,40.6000,258.0000,14.5000,25.6000,8.3000,2020-05-21,42586.8900,5.0000,9.2941,105.7278
4.3000,33.5000,33.5000,5.7000,19.1300,32.6000,40.3000,227.0000,13.9000,26.4000,5.7000,2020-05-22,42599.3500,9.0000,9.2941,105.7278
4.1100,45.0000,32.0000,10.6000,19.2900,32.2000,38.0000,212.0000,21.6000,26.3000,10.6000,2020-05-23,39564.8300,9.0000,9.2941,105.7278
3.7700,33.8000,32.2000,6.6000,17.0700,30.8000,38.2000,191.0000,15.7000,25.2000,6.6000,2020-05-24,35451.9100,9.0000,9.2941,105.7278
4.5300,33.1000,32.1000,2.0000,20.6000,31.7000,38.2000,193.0000,14.1000,26.2000,2.0000,2020-05-25,40651.9900,9.0000,9.2941,105.7278
5.5100,32.0000,33.4000,0.0000,24.3300,31.0000,39.3000,210.0000,14.8000,25.2000,0.0000,2020-05-26,42651.3800,0.0000,9.2941,105.7278
4.6400,33.1000,33.5000,7.7000,21.0600,32.1000,39.5000,218.0000,14.0000,26.1000,7.7000,2020-05-27,41287.7300,9.0000,9.2941,105.7278
3.9600,26.6000,32.3000,11.3000,18.0100,31.2000,38.9000,200.0000,10.9000,25.3000,11.3000,2020-05-28,29979.0900,13.0000,9.2941,105.7278
4.5500,35.6000,32.3000,4.6000,20.4600,32.4000,37.8000,175.0000,16.2000,26.2000,4.6000,2020-05-29,40260.4800,10.0000,9.2941,105.7278
3.4500,23.4000,31.9000,3.2000,15.0800,32.5000,38.3000,126.0000,9.9000,26.2000,3.2000,2020-05-30,25679.6300,10.0000,9.2941,105.7278
3.8500,29.2000,32.0000,2.4000,17.6500,31.9000,38.1000,120.0000,12.2000,25.8000,2.4000,2020-05-31,37936.1800,9.0000,9.2941,105.7278
4.2300,27.4000,33.3000,9.3000,19.8300,31.0000,41.6000,240.0000,9.7000,25.0000,9.3000,2020-06-01,38172.5900,6.0000,9.2941,105.7278
3.6800,29.9000,31.6000,9.4000,17.1100,31.5000,37.4000,187.0000,12.5000,25.2000,9.4000,2020-06-02,28095.3900,15.0000,9.2941,105.7278
4.3500,33.5000,32.2000,10.9000,20.7700,30.4000,38.4000,205.0000,15.0000,25.0000,10.9000,2020-06-03,36566.9500,7.0000,9.2941,105.7278
3.2500,36.0000,30.1000,10.8000,15.4300,31.4000,35.3000,209.0000,17.4000,25.7000,10.8000,2020-06-04,27971.3200,11.0000,9.2941,105.7278
3.3400,30.6000,31.6000,17.6000,15.6300,30.4000,38.1000,224.0000,14.1000,25.0000,17.6000,2020-06-05,26115.4700,7.0000,9.2941,105.7278
3.6100,36.0000,31.9000,7.5000,16.5400,30.1000,37.6000,226.0000,14.3000,25.0000,7.5000,2020-06-06,32440.1700,8.0000,9.2941,105.7278
