precip_hours,tmax,radiation_sum,tmin,evapo_et0,wind_dir_dominant,apparent_tmax,date,prcp,rain_sum,wind_gusts_max,wind_speed_max,apparent_tmin,sunshine_duration,latitude,longitude
2.0000,33.7000,24.8100,25.4000,5.4700,226.0000,40.5000,2020-05-26,0.2000,0.2000,34.2000,13.2000,31.8000,42401.4000,10.5417,107.2428
8.0000,33.9000,22.4800,26.6000,5.1100,240.0000,40.6000,2020-05-27,5.1000,5.1000,30.2000,12.4000,32.6000,41019.1200,10.5417,107.2428
18.0000,31.7000,18.3700,24.8000,3.8600,184.0000,39.0000,2020-05-28,20.2000,20.2000,27.0000,9.4000,30.6000,28291.0600,10.5417,107.2428
10.0000,32.0000,22.1600,25.5000,4.7500,157.0000,38.4000,2020-05-29,2.1000,2.1000,31.7000,13.0000,32.0000,41982.2100,10.5417,107.2428
9.0000,31.8000,18.2800,25.5000,3.8700,120.0000,39.3000,2020-05-30,9.2000,9.2000,27.0000,9.1000,32.0000,28068.3000,10.5417,107.2428
5.0000,32.2000,21.7500,25.1000,4.5900,106.0000,38.9000,2020-05-31,0.6000,0.6000,31.0000,11.3000,30.6000,42473.2100,10.5417,107.2428
12.0000,32.8000,20.6400,25.1000,4.3500,318.0000,41.0000,2020-06-01,20.4000,20.4000,24.1000,8.8000,31.2000,36354.4000,10.5417,107.2428
14.0000,31.4000,21.4200,24.0000,4.4200,221.0000,38.9000,2020-06-02,15.8000,15.8000,28.1000,10.6000,29.1000,37997.9300,10.5417,107.2428
12.0000,31.4000,22.1200,24.4000,4.5800,186.0000,38.7000,2020-06-03,3.2000,3.2000,27.4000,11.2000,30.0000,37539.8900,10.5417,107.2428
15.0000,30.5000,18.4100,24.7000,3.7400,192.0000,37.5000,2020-06-04,12.7000,12.7000,29.9000,13.2000,30.4000,35948.8500,10.5417,107.2428
7.0000,32.0000,20.7400,25.3000,4.3900,240.0000,39.0000,2020-06-05,3.7000,3.7000,29.5000,11.2000,31.0000,40299.6600,10.5417,107.2428
14.0000,30.4000,20.2500,25.2000,4.0800,229.0000,36.5000,2020-06-06,9.1000,9.1000,36.0000,14.0000,30.9000,38858.2500,10.5417,107.2428
4.0000,32.4000,23.8700,25.5000,5.1300,247.0000,38.8000,2020-06-07,0.7000,0.7000,33.8000,14.8000,31.3000,42577.1400,10.5417,107.2428
11.0000,31.3000,19.7900,25.8000,4.1800,242.0000,37.6000,2020-06-08,5.1000,5.1000,26.6000,9.9000,30.9000,41899.5900,10.5417,107.2428
11.0000,30.8000,17.8900,25.2000,3.8200,230.0000,36.6000,2020-06-09,13.1000,13.1000,25.6000,11.3000,31.2000,33174.0900,10.5417,107.2428
21.0000,28.7000,13.1800,24.8000,2.6900,208.0000,34.4000,2020-06-10,16.1000,16.1000,25.6000,9.8000,30.8000,20803.5000,10.5417,107.2428
18.0000,29.5000,14.2500,24.8000,2.9300,257.0000,34.9000,2020-06-11,12.0000,12.0000,28.1000,9.8000,30.6000,24107.3600,10.5417,107.2428
9.0000,30.1000,17.9100,24.7000,3.7100,264.0000,36.2000,2020-06-12,4.6000,4.6000,33.5000,14.1000,30.1000,41745.6700,10.5417,107.2428
20.0000,31.3000,17.1800,24.3000,3.4700,263.0000,38.6000,2020-06-13,24.6000,24.6000,32.8000,14.4000,30.0000,29644.0900,10.5417,107.2428
23.0000,28.4000,11.9200,24.8000,2.3400,211.0000,33.9000,2020-06-14,24.6000,24.6000,36.7000,16.8000,29.9000,20803.5000,10.5417,107.2428
19.0000,29.6000,14.5200,24.6000,2.8300,154.0000,36.2000,2020-06-15,19.6000,19.6000,36.0000,12.7000,30.8000,24669.6100,10.5417,107.2428
15.0000,30.6000,15.9400,24.8000,3.2900,143.0000,37.9000,2020-06-16,13.6000,13.6000,24.8000,9.5000,30.8000,26556.1400,10.5417,107.2428
6.0000,32.1000,22.1500,24.5000,4.5700,297.0000,39.8000,2020-06-17,6.7000,6.7000,23.8000,8.7000,30.0000,36000.0000,10.5417,107.2428
12.0000,32.2000,20.9800,24.7000,4.3400,307.0000,40.4000,2020-06-18,17.9000,17.9000,30.6000,14.2000,30.1000,41705.9100,10.5417,107.2428
18.0000,30.8000,18.8400,24.6000,3.7900,222.0000,38.1000,2020-06-19,14.4000,14.4000,26.3000,9.7000,30.3000,31971.9600,10.5417,107.2428
19.0000,29.5000,16.5800,24.6000,3.3800,158.0000,36.2000,2020-06-20,24.6000,24.6000,24.1000,11.5000,30.1000,31540.0800,10.5417,107.2428
15.0000,30.8000,18.1300,24.9000,3.7000,217.0000,37.9000,2020-06-21,18.9000,18.9000,24.1000,9.3000,30.4000,34720.5400,10.5417,107.2428
13.0000,29.4000,14.2800,25.0000,2.8600,146.0000,36.2000,2020-06-22,14.9000,14.9000,28.8000,12.3000,31.2000,29249.6900,10.5417,107.2428
9.0000,30.8000,22.0200,24.5000,4.4700,178.0000,37.6000,2020-06-23,2.8000,2.8000,24.8000,9.7000,30.3000,42805.5000,10.5417,107.2428
14.0000,30.6000,21.8200,25.5000,4.4500,199.0000,39.2000,2020-06-24,7.6000,7.6000,27.7000,11.9000,31.5000,41326.3900,10.5417,107.2428
15.0000,30.3000,18.9500,24.6000,3.8300,218.0000,38.3000,2020-06-25,9.6000,9.6000,26.6000,10.3000,30.3000,37985.3500,10.5417,107.2428
8.0000,30.2000,18.0000,23.5000,3.7500,235.0000,35.8000,2020-06-26,2.0000,2.0000,27.7000,11.8000,28.1000,33524.6400,10.5417,107.2428
13.0000,29.7000,18.7200,24.4000,3.7100,245.0000,35.5000,2020-06-27,10.2000,10.2000,33.5000,11.8000,30.0000,39792.2000,10.5417,107.2428
21.0000,29.3000,15.1700,24.9000,3.0400,245.0000,33.7000,2020-06-28,14.7000,14.7000,40.0000,14.3000,30.2000,26849.6800,10.5417,107.2428
23.0000,26.8500,10.0350,24.5000,1.5650,251.0000,32.3000,2020-06-29,20.8000,20.8000,41.4000,11.8000,30.0000,20803.5000,10.5417,107.2428
15.0000,29.2000,10.7500,23.9000,2.1700,274.0000,35.2000,2020-06-30,17.7000,17.7000,40.3000,13.0000,28.8000,20803.5000,10.5417,107.2428
7.0000,30.0000,17.1900,23.9000,3.3600,274.0000,35.8000,2020-07-01,5.6000,5.6000,42.5000,17.4000,29.1000,35221.2000,10.5417,107.2428
12.0000,30.2000,20.0400,24.3000,3.9100,250.0000,37.1000,2020-07-02,22.8000,22.8000,42.8000,14.3000,29.4000,36529.3300,10.5417,107.2428
20.0000,27.6000,10.0350,24.1000,1.9600,250.0000,33.0000,2020-07-03,24.6000,24.6000,32.8000,12.7000,29.4000,20803.5000,10.5417,107.2428
5.0000,29.3000,13.4400,23.7000,2.8500,272.0000,33.8000,2020-07-04,1.2000,1.2000,36.4000,13.6000,28.2000,31135.2600,10.5417,107.2428
10.0000,31.4000,20.1600,24.4000,4.1400,299.0000,38.5000,2020-07-05,11.2000,11.2000,30.6000,10.2000,29.0000,37295.8300,10.5417,107.2428
15.0000,28.1000,14.4700,24.3000,2.7400,153.0000,33.7000,2020-07-06,23.1000,23.1000,30.6000,13.2000,29.8000,30404.1500,10.5417,107.2428
13.0000,30.3000,22.4800,24.3000,4.5200,130.0000,36.5000,2020-07-07,1.7000,1.7000,34.6000,13.4000,29.8000,42928.3900,10.5417,107.2428
7.0000,29.2000,12.8700,24.2000,2.7100,157.0000,34.9000,2020-07-08,1.5000,1.5000,23.8000,9.0000,29.4000,26786.7500,10.5417,107.2428
8.0000,31.4000,21.3700,24.9000,4.3900,263.0000,39.3000,2020-07-09,3.7000,3.7000,22.0000,7.9000,30.4000,42936.1600,10.5417,107.2428
17.0000,29.9000,19.9900,23.9000,3.9100,215.0000,37.0000,2020-07-10,17.2000,17.2000,34.2000,14.8000,29.3000,40337.4000,10.5417,107.2428
10.0000,30.3000,17.2800,24.3000,3.4900,215.0000,37.4000,2020-07-11,9.7000,9.7000,30.6000,13.3000,29.3000,30920.7900,10.5417,107.2428
13.0000,30.5000,21.5500,24.2000,4.4000,223.0000,37.5000,2020-07-12,3.8000,3.8000,27.7000,12.8000,29.5000,40517.1000,10.5417,107.2428
15.0000,28.5000,14.4500,24.2000,2.8600,214.0000,35.2000,2020-07-13,22.5000,22.5000,29.9000,10.9000,29.8000,25261.7500,10.5417,107.2428
18.0000,31.2000,21.6800,25.1000,4.4100,293.0000,37.6000,2020-07-14,11.1000,11.1000,29.9000,11.8000,30.7000,42238.1600,10.5417,107.2428
7.0000,30.4000,18.6400,23.7000,3.8100,215.0000,37.5000,2020-07-15,10.7000,10.7000,23.8000,9.2000,29.0000,38189.7100,10.5417,107.2428
14.0000,30.2000,20.9400,25.5000,4.1500,158.0000,37.7000,2020-07-16,3.1000,3.1000,31.3000,13.8000,31.0000,42936.3300,10.5417,107.2428
10.0000,30.1000,21.0600,24.6000,4.1700,135.0000,37.7000,2020-07-17,5.4000,5.4000,27.4000,10.9000,30.2000,41268.3200,10.5417,107.2428
13.0000,30.4000,22.0700,25.4000,4.4100,138.0000,37.6000,2020-07-18,4.9000,4.9000,28.1000,11.5000,31.3000,42930.1100,10.5417,107.2428
9.0000,31.2000,22.0000,24.4000,4.5100,176.0000,39.5000,2020-07-19,3.3000,3.3000,25.2000,10.1000,29.7000,42171.8700,10.5417,107.2428
8.0000,30.7000,20.3800,25.1000,4.1200,114.0000,38.5000,2020-07-20,7.2000,7.2000,24.8000,8.0000,31.0000,42168.7500,10.5417,107.2428
14.0000,29.1000,14.1200,24.8000,2.8800,115.0000,34.8000,2020-07-21,2.4000,2.4000,32.4000,12.9000,30.3000,22199.1900,10.5417,107.2428
6.0000,30.7000,22.1700,24.8000,4.4300,116.0000,39.7000,2020-07-22,4.0000,4.0000,28.8000,10.8000,30.1000,42909.1700,10.5417,107.2428
12.0000,30.6000,20.5000,25.5000,4.2100,171.0000,38.1000,2020-07-23,3.5000,3.5000,25.6000,10.0000,31.3000,40645.0900,10.5417,107.2428
19.0000,28.2000,11.2500,24.9000,2.2900,100.0000,34.9000,2020-07-24,4.7000,4.7000,18.7000,6.7000,30.5000,20803.5000,10.5417,107.2428
10.0000,30.2000,22.7800,24.5000,4.5900,162.0000,37.5000,2020-07-25,3.4000,3.4000,27.0000,11.2000,29.7000,42853.9700,10.5417,107.2428
10.0000,30.2000,21.8300,25.4000,4.4000,166.0000,37.9000,2020-07-26,2.1000,2.1000,25.9000,10.6000,30.9000,42834.4500,10.5417,107.2428
12.0000,31.1000,22.5500,25.2000,4.6500,202.0000,38.6000,2020-07-27,2.4000,2.4000,27.7000,12.2000,30.6000,42814.5400,10.5417,107.2428
21.0000,30.2000,21.1200,25.1000,4.1400,219.0000,37.9000,2020-07-28,14.6000,14.6000,29.5000,14.4000,30.6000,41642.9100,10.5417,107.2428
10.0000,31.3000,20.9000,24.4000,4.1400,277.0000,39.2000,2020-07-29,15.8000,15.8000,32.0000,13.9000,29.6000,38367.1800,10.5417,107.2428
14.0000,30.7000,21.6400,24.6000,4.2400,291.0000,36.8000,2020-07-30,12.4000,12.4000,44.3000,18.6000,29.7000,39572.2100,10.5417,107.2428
17.0000,29.0000,10.4900,25.0000,2.2000,268.0000,33.4000,2020-07-31,19.9000,19.9000,43.9000,17.3000,29.8000,20803.5000,10.5417,107.2428
21.0000,27.5000,10.0350,24.7000,1.9500,247.0000,31.5000,2020-08-01,9.9000,9.9000,54.7000,20.8000,28.6000,20803.5000,10.5417,107.2428
18.0000,29.4000,16.1000,25.4000,3.2300,241.0000,33.6000,2020-08-02,16.9000,16.9000,61.4500,26.6000,29.1000,32204.6900,10.5417,107.2428
19.0000,27.7000,12.2400,25.4000,2.3900,243.0000,33.4000,2020-08-03,24.6000,24.6000,48.6000,17.7000,30.2000,25734.4300,10.5417,107.2428
17.0000,29.8000,17.5600,24.3000,3.4700,268.0000,35.7000,2020-08-04,15.6000,15.6000,49.3000,16.7000,28.7000,31127.6300,10.5417,107.2428
14.0000,30.3000,17.2700,24.0000,3.4600,287.0000,37.5000,2020-08-05,24.6000,24.6000,34.6000,13.0000,28.8000,34172.7800,10.5417,107.2428
23.0000,29.3000,15.7100,24.2000,3.0600,271.0000,35.8000,2020-08-06,24.6000,24.6000,33.5000,14.2000,28.8000,26048.8200,10.5417,107.2428
15.0000,29.9000,18.6400,24.2000,3.7500,267.0000,35.4000,2020-08-07,12.1000,12.1000,35.3000,13.7000,29.3000,32791.5800,10.5417,107.2428
15.0000,28.8000,16.0800,25.1000,3.0300,262.0000,34.4000,2020-08-08,21.7000,21.7000,42.1000,18.3000,30.3000,33477.4400,10.5417,107.2428
6.0000,30.5000,20.2200,24.9000,4.0200,248.0000,36.3000,2020-08-09,9.4000,9.4000,45.4000,16.3000,30.5000,34385.9500,10.5417,107.2428
9.0000,30.4000,18.3700,25.6000,3.6300,248.0000,35.7000,2020-08-10,9.2000,9.2000,55.4000,19.2000,30.9000,40690.5700,10.5417,107.2428
8.0000,30.9000,20.6800,25.3000,4.1400,247.0000,37.3000,2020-08-11,9.8000,9.8000,43.9000,15.0000,30.2000,37205.1800,10.5417,107.2428
24.0000,28.6000,14.2800,24.1000,2.8300,212.0000,35.2000,2020-08-12,24.6000,24.6000,35.6000,12.5000,29.3000,24561.1700,10.5417,107.2428
24.0000,27.6000,10.0350,24.3000,1.6700,194.0000,33.3000,2020-08-13,24.4000,24.4000,23.8000,9.4000,30.0000,20803.5000,10.5417,107.2428
22.0000,29.2000,17.7000,24.1000,3.4800,224.0000,36.0000,2020-08-14,18.8000,18.8000,28.4000,12.1000,29.1000,29630.5700,10.5417,107.2428
