date,tmax,tmin,prcp,apparent_tmax,apparent_tmin,rain_sum,precip_hours,wind_speed_max,wind_gusts_max,wind_dir_dominant,radiation_sum,evapo_et0,sunshine_duration,latitude,longitude
2020-05-27,26.8000,18.9000,5.3000,30.1000,20.1000,5.3000,7.0000,13.0000,33.8000,292.0000,19.7400,3.8400,38407.8200,11.5480,108.5929
2020-05-28,25.9000,18.6000,4.4000,29.7000,20.0000,4.4000,9.0000,11.2000,29.5000,278.0000,18.8700,3.5600,39934.9100,11.5480,108.5929
2020-05-29,26.5000,18.2000,3.9000,30.1000,20.5000,3.9000,9.0000,9.4000,29.9000,211.0000,22.6200,4.2500,41309.5000,11.5480,108.5929
2020-05-30,26.8000,17.6000,2.6000,30.1000,19.5000,2.6000,7.0000,8.5000,26.3000,297.0000,19.0400,3.6200,31681.2100,11.5480,108.5929
2020-05-31,25.1000,17.5000,2.5000,27.8000,19.0000,2.5000,7.0000,8.4000,26.6000,67.0000,20.4000,3.8100,41958.4900,11.5480,108.5929
2020-06-01,27.1000,17.2000,7.5000,30.9000,18.8000,7.5000,10.0000,6.9000,20.9000,305.0000,22.6500,4.3400,39784.1400,11.5480,108.5929
2020-06-02,25.7000,17.0000,14.2000,29.1000,18.1000,14.2000,11.0000,11.2000,26.6000,266.0000,22.5800,4.1200,41726.6800,11.5480,108.5929
2020-06-03,25.8000,17.4000,3.7000,29.2000,18.9000,3.7000,11.0000,11.8000,32.8000,282.0000,21.9300,4.0800,36368.1000,11.5480,108.5929
2020-06-04,24.5000,17.8000,3.2000,28.1000,19.4000,3.2000,10.0000,11.3000,34.6000,267.0000,19.9600,3.5700,34977.5800,11.5480,108.5929
2020-06-05,25.8000,18.0000,7.2000,29.0000,19.4000,7.2000,7.0000,10.2000,31.7000,286.0000,18.9400,3.4900,29467.0600,11.5480,108.5929
2020-06-06,25.5000,18.3000,2.9000,29.1000,19.5000,2.9000,9.0000,11.6000,29.9000,285.0000,20.9800,3.8700,42442.9500,11.5480,108.5929
2020-06-07,26.4000,18.3000,2.1000,30.2000,19.3000,2.1000,5.0000,12.8000,31.3000,295.0000,22.5100,4.2100,42666.5700,11.5480,108.5929
2020-06-08,26.4000,17.8000,1.3000,30.2000,19.2000,1.3000,8.0000,12.4000,32.8000,293.0000,22.3900,4.2100,42760.1400,11.5480,108.5929
2020-06-09,25.8000,18.1000,14.3000,30.4000,19.7000,14.3000,7.0000,8.7000,26.6000,305.0000,21.1900,3.9700,42544.6000,11.5480,108.5929
2020-06-10,25.5000,17.1000,17.0000,29.6000,19.0000,17.0000,13.0000,11.4000,31.7000,276.0000,16.1900,2.9300,40213.3600,11.5480,108.5929
2020-06-11,25.4000,18.2000,11.7000,28.8000,19.6000,11.7000,7.0000,10.0000,26.3000,296.0000,18.4100,3.3400,36699.5500,11.5480,108.5929
2020-06-12,23.9000,17.9000,11.3000,28.5000,18.9000,11.3000,11.0000,10.9000,27.0000,331.0000,20.1700,3.6900,42113.9700,11.5480,108.5929
2020-06-13,26.3000,18.1000,12.2000,29.9000,19.3000,12.2000,11.0000,11.7000,33.1000,308.0000,17.8100,3.3400,28708.5700,11.5480,108.5929
2020-06-14,21.9000,18.2000,17.0000,24.2000,20.3000,17.0000,15.0000,12.7000,41.8000,242.0000,14.3000,2.3700,26133.3200,11.5480,108.5929
2020-06-15,23.2000,17.5000,2.0000,25.1000,18.5000,2.0000,9.0000,12.2000,38.5000,260.0000,15.7900,2.8300,25937.9900,11.5480,108.5929
2020-06-16,25.0000,17.3000,7.0000,28.1000,19.0000,7.0000,8.0000,8.8000,27.4000,316.0000,16.9700,3.1600,36929.2700,11.5480,108.5929
2020-06-17,26.0000,17.6000,11.1000,29.3000,18.7000,11.1000,10.0000,8.7000,24.8000,335.0000,17.9100,3.3800,33317.9700,11.5480,108.5929
2020-06-18,25.8000,18.3000,17.0000,29.4000,20.4000,17.0000,10.0000,8.6000,24.8000,346.0000,19.4300,3.6200,38520.8700,11.5480,108.5929
2020-06-19,25.4000,17.3000,6.9000,30.1000,19.6000,6.9000,12.0000,9.4000,28.8000,35.0000,19.7500,3.6700,41980.9800,11.5480,108.5929
2020-06-20,24.1000,17.6000,13.3000,29.0000,19.5000,13.3000,15.0000,8.5000,25.6000,127.0000,17.3800,3.2000,29198.9100,11.5480,108.5929
2020-06-21,25.6000,17.3000,3.3000,29.2000,19.3000,3.3000,9.0000,8.7000,33.8000,252.0000,20.1600,3.7100,40194.4200,11.5480,108.5929
2020-06-22,25.2000,17.1000,1.1000,29.7000,19.0000,1.1000,5.0000,10.7000,32.4000,229.0000,22.7900,4.0400,42737.8700,11.5480,108.5929
2020-06-23,26.5000,17.2000,2.1000,30.8000,18.8000,2.1000,9.0000,8.4000,26.3000,250.0000,24.2900,4.5300,42817.1600,11.5480,108.5929
2020-06-24,25.7000,17.2000,10.7000,30.3000,18.9000,10.7000,7.0000,8.1000,27.0000,247.0000,22.6500,4.1900,42692.5700,11.5480,108.5929
2020-06-25,24.7000,17.5000,8.7000,28.6000,19.4000,8.7000,12.0000,9.5000,27.4000,250.0000,22.4600,4.0200,41185.3100,11.5480,108.5929
2020-06-26,25.0000,16.4000,7.3000,28.1000,17.8000,7.3000,8.0000,10.0000,29.5000,258.0000,20.6900,3.7800,33341.4100,11.5480,108.5929
2020-06-27,24.4000,17.7000,4.6000,27.5000,19.1000,4.6000,10.0000,8.8000,27.4000,270.0000,15.2000,2.8000,26285.7300,11.5480,108.5929
2020-06-28,19.5000,17.8000,17.0000,21.7000,19.3000,17.0000,22.5000,11.0000,27.4000,258.0000,9.5000,1.5100,20070.4050,11.5480,108.5929
2020-06-29,21.0000,17.4000,13.6000,21.8000,18.1000,13.6000,21.0000,15.7000,43.6000,269.0000,10.2500,1.7800,20070.4050,11.5480,108.5929
2020-06-30,22.9000,16.9000,17.0000,23.8000,16.9000,17.0000,18.0000,16.9000,60.5000,271.0000,14.9100,2.6800,31678.6700,11.5480,108.5929
