date,tmax,tmin,prcp,apparent_tmax,apparent_tmin,rain_sum,precip_hours,wind_speed_max,wind_gusts_max,wind_dir_dominant,radiation_sum,evapo_et0,sunshine_duration,latitude,longitude
2020-05-19,31.8000,25.6000,5.3000,38.2000,32.0000,5.3000,6.0000,12.8000,25.9000,120.0000,15.9400,3.4800,37315.8500,20.4388,106.1621
2020-05-20,34.9000,26.8000,0.0000,42.7000,33.6000,0.0000,0.0000,17.3000,33.1000,181.0000,23.8000,5.6700,43226.1100,20.4388,106.1621
2020-05-21,37.1000,28.1000,0.0000,44.4000,32.3000,0.0000,0.0000,16.6000,30.6000,205.0000,25.6800,6.8300,43223.9500,20.4388,106.1621
2020-05-22,32.2000,26.9000,12.6875,38.0000,32.2000,12.6875,8.0000,18.4000,36.7000,92.0000,11.6400,3.1700,15166.1500,20.4388,106.1621
2020-05-23,30.9000,25.5000,12.6875,36.3000,31.2000,12.6875,13.0000,12.6000,24.8000,79.0000,13.7200,3.1200,17626.1400,20.4388,106.1621
2020-05-24,32.9000,26.0000,10.6000,39.2000,32.5000,10.6000,6.0000,16.6000,32.8000,146.0000,17.0700,3.8000,35646.7300,20.4388,106.1621
2020-05-25,35.3000,27.9000,0.1000,44.4000,33.3000,0.1000,1.0000,15.3000,30.2000,168.0000,22.8900,5.3400,43311.2500,20.4388,106.1621
2020-05-26,30.7000,25.4000,7.1000,36.2000,29.2000,7.1000,15.0000,20.1000,38.5000,19.0000,14.0300,3.2100,27827.1300,20.4388,106.1621
2020-05-27,29.9000,23.9000,10.9000,34.0000,27.8000,10.9000,7.0000,13.7000,29.5000,10.0000,16.7900,3.6000,27633.0200,20.4388,106.1621
2020-05-28,30.6000,25.0000,0.2000,35.4000,29.1000,0.2000,2.0000,13.1000,26.3000,184.0000,16.0100,3.5700,38451.4500,20.4388,106.1621
2020-05-29,31.5000,24.9000,0.6000,36.8000,30.3000,0.6000,5.0000,16.2000,33.5000,179.0000,18.6600,4.1900,42364.9400,20.4388,106.1621
2020-05-30,34.0000,27.4000,0.6000,41.7000,32.8000,0.6000,1.0000,14.2000,33.5000,190.0000,21.0900,4.9400,37390.5300,20.4388,106.1621
2020-05-31,34.9000,27.4000,0.0000,40.8000,32.7000,0.0000,0.0000,17.5000,35.3000,194.0000,24.7900,6.0900,41125.7200,20.4388,106.1621
2020-06-01,35.1000,27.6000,1.3000,41.9000,31.6000,1.3000,1.0000,17.1000,31.0000,184.0000,19.5400,4.9700,33158.1700,20.4388,106.1621
2020-06-02,35.0000,27.7000,0.0000,41.9000,31.6000,0.0000,0.0000,20.0000,36.4000,181.0000,22.8500,6.0700,43208.6400,20.4388,106.1621
2020-06-03,35.6000,27.6000,1.1000,42.7000,31.3000,1.1000,2.0000,19.5000,36.0000,183.0000,23.4200,6.1000,43501.7100,20.4388,106.1621
2020-06-04,36.0000,28.4000,1.1000,43.4000,33.4000,1.1000,2.0000,21.4000,41.4000,173.0000,23.9200,6.2600,43208.2600,20.4388,106.1621
2020-06-05,36.3000,29.1000,0.0000,42.6000,33.2000,0.0000,0.0000,19.6000,36.4000,181.0000,21.4300,5.9000,40882.0800,20.4388,106.1621
2020-06-06,36.7000,28.2000,0.0000,41.4000,33.1000,0.0000,0.0000,19.9000,37.8000,184.0000,18.5700,5.7100,32863.2700,20.4388,106.1621
2020-06-07,37.7000,29.6000,0.0000,42.6000,32.3000,0.0000,0.0000,22.5000,40.0000,198.0000,21.5300,6.9700,43200.0000,20.4388,106.1621
2020-06-08,37.6000,29.5000,0.0000,42.7000,32.3000,0.0000,0.0000,20.5000,40.0000,195.0000,22.0500,7.0900,41634.3800,20.4388,106.1621
2020-06-09,36.8000,29.8000,0.0000,43.0000,32.8000,0.0000,0.0000,20.1000,40.3000,178.0000,22.8100,6.7600,40802.3700,20.4388,106.1621
2020-06-10,35.5000,28.9000,1.2000,41.3000,34.6000,1.2000,3.0000,16.6000,34.9000,165.0000,20.7400,5.4600,42904.3400,20.4388,106.1621
2020-06-11,34.7000,28.4000,0.4000,41.0000,34.7000,0.4000,2.0000,18.4000,38.2000,167.0000,16.0800,4.3700,28509.4400,20.4388,106.1621
2020-06-12,35.5000,28.9000,0.8000,41.0000,34.6000,0.8000,3.0000,19.0000,36.7000,169.0000,20.7000,5.4900,43200.0000,20.4388,106.1621
2020-06-13,35.4000,28.6000,4.6000,41.6000,34.7000,4.6000,7.0000,18.1000,37.1000,153.0000,20.4800,5.1600,43312.2300,20.4388,106.1621
2020-06-14,32.8000,26.3000,12.6875,41.0000,32.6000,12.6875,22.0000,14.1000,32.0000,119.0000,12.0800,2.7700,18000.0000,20.4388,106.1621
2020-06-15,31.6000,24.3000,12.6875,36.6000,29.3000,12.6875,16.0000,19.8000,37.1000,158.0000,11.7800,2.9800,17353.3700,20.4388,106.1621
2020-06-16,32.9000,27.4000,0.5000,37.9000,31.8000,0.5000,3.0000,21.0000,41.8000,175.0000,20.6600,5.1400,42774.8500,20.4388,106.1621
2020-06-17,32.6000,27.7000,0.0000,37.1000,31.3000,0.0000,0.0000,20.9000,40.7000,179.0000,19.5300,5.2400,42229.9200,20.4388,106.1621
