date,tmax,tmin,prcp,apparent_tmax,apparent_tmin,rain_sum,precip_hours,wind_speed_max,wind_gusts_max,wind_dir_dominant,radiation_sum,evapo_et0,sunshine_duration,latitude,longitude
2020-05-27,30.4000,23.8000,5.0000,33.5000,27.3000,5.0000,9.0000,12.9000,29.5000,10.0000,17.0900,3.7400,31503.5900,21.2810,106.1978
2020-05-28,31.0000,22.8000,0.0000,36.0000,27.4000,0.0000,0.0000,9.7000,21.2000,190.0000,18.0200,3.9100,35377.7000,21.2810,106.1978
2020-05-29,30.7000,24.6000,2.6000,36.8000,29.8000,2.6000,6.0000,14.8000,35.3000,158.0000,14.5400,3.3200,22909.7000,21.2810,106.1978
2020-05-30,33.0000,26.1000,1.3000,41.3000,31.6000,1.3000,7.0000,13.2000,33.1000,146.0000,21.0100,4.6700,36512.1100,21.2810,106.1978
2020-05-31,34.4000,26.5000,0.4000,41.9000,31.9000,0.4000,2.0000,16.3000,32.4000,163.0000,23.5000,5.6200,42999.2200,21.2810,106.1978
2020-06-01,33.9000,27.3000,5.2000,41.4000,32.3000,5.2000,7.0000,16.0000,29.9000,160.0000,20.1500,4.7300,29502.4800,21.2810,106.1978
2020-06-02,34.6000,27.3000,4.8000,41.2000,32.8000,4.8000,5.0000,18.2000,38.9000,155.0000,23.5800,5.7200,40000.6900,21.2810,106.1978
2020-06-03,34.2000,27.5000,1.6000,42.4000,32.0000,1.6000,3.0000,17.1000,32.8000,145.0000,24.1700,5.8100,42222.8900,21.2810,106.1978
2020-06-04,35.6000,27.5000,3.4000,42.9000,33.0000,3.4000,8.0000,20.0000,38.5000,146.0000,21.8200,5.4100,39600.0000,21.2810,106.1978
2020-06-05,34.2000,28.4000,0.0000,40.2000,33.6000,0.0000,0.0000,14.9000,33.8000,153.0000,16.9300,4.4000,28016.1900,21.2810,106.1978
2020-06-06,34.5000,26.4000,3.1000,41.4000,31.7000,3.1000,3.0000,17.4000,34.2000,137.0000,17.2300,4.5000,32100.4500,21.2810,106.1978
2020-06-07,36.7000,28.5000,0.0000,43.0000,32.5000,0.0000,0.0000,18.7000,38.2000,182.0000,24.1700,6.8000,43200.0000,21.2810,106.1978
2020-06-08,36.4000,28.8000,0.0000,41.5000,31.8000,0.0000,0.0000,16.9000,31.3000,176.0000,21.8700,6.5200,40650.7300,21.2810,106.1978
