date,tmax,tmin,prcp,apparent_tmax,apparent_tmin,rain_sum,precip_hours,wind_speed_max,wind_gusts_max,wind_dir_dominant,radiation_sum,evapo_et0,sunshine_duration,latitude,longitude
2020-08-03,29.4000,24.8000,9.9000,32.6000,28.9000,9.9000,23.0000,20.8000,48.2000,228.0000,9.6100,2.1200,12104.9150,10.5216,105.1260
2020-08-04,29.6000,24.6000,6.2000,32.9000,29.0000,6.2000,12.0000,21.0000,50.4000,231.0000,14.1300,3.0100,28359.1700,10.5216,105.1260
2020-08-05,30.3000,24.9000,23.4500,35.8000,29.5000,23.4500,17.0000,13.8000,43.6000,242.0000,12.2100,2.6200,22961.7200,10.5216,105.1260
2020-08-06,30.0000,25.0000,20.3000,36.0000,30.3000,20.3000,21.0000,15.7000,35.3000,238.0000,9.0600,2.0300,12104.9150,10.5216,105.1260
2020-08-07,30.8000,24.9000,10.7000,36.7000,30.1000,10.7000,16.0000,19.0000,38.5000,245.0000,14.4100,3.0300,28231.0100,10.5216,105.1260
2020-08-08,28.3000,25.2000,7.1000,32.7000,30.0000,7.1000,10.0000,20.0000,41.4000,239.0000,9.4700,2.1600,13423.9700,10.5216,105.1260
2020-08-09,31.0000,25.1000,8.3000,35.9000,30.5000,8.3000,6.0000,18.5000,45.4000,225.0000,15.3900,3.3800,28690.4900,10.5216,105.1260
2020-08-10,28.8000,24.4000,17.7000,33.0000,28.7000,17.7000,17.0000,19.4000,48.2000,231.0000,10.6500,2.2600,15199.2900,10.5216,105.1260
2020-08-11,32.5000,25.5000,0.7000,38.2000,30.2000,0.7000,4.0000,18.7000,42.5000,237.0000,20.7400,4.7400,36985.3500,10.5216,105.1260
2020-08-12,30.5000,26.1000,11.6000,37.5000,30.8000,11.6000,9.0000,14.8000,33.1000,215.0000,15.4600,3.3300,19027.4900,10.5216,105.1260
2020-08-13,29.9000,25.0000,12.7000,36.4000,29.4000,12.7000,16.0000,14.8000,33.5000,217.0000,13.9800,2.8500,21340.7900,10.5216,105.1260
