apparent_tmax,precip_hours,rain_sum,radiation_sum,sunshine_duration,prcp,tmax,date,wind_speed_max,apparent_tmin,evapo_et0,wind_gusts_max,wind_dir_dominant,tmin,latitude,longitude
36.0000,9.0000,7.3000,16.1300,29083.4400,7.3000,32.2000,2020-08-02,19.4000,29.5000,4.2800,53.6000,228.0000,26.3000,13.7820,109.2190
36.8000,3.0000,0.4000,17.0100,35050.1800,0.4000,33.5000,2020-08-03,17.7000,30.1000,4.3300,37.1000,237.0000,25.4000,13.7820,109.2190
38.4000,0.0000,0.0000,19.9200,42518.8300,0.0000,34.6000,2020-08-04,20.8000,31.6000,5.2700,47.5000,248.0000,26.9000,13.7820,109.2190
40.3000,4.0000,15.4000,20.6900,38896.4400,15.4000,33.3000,2020-08-05,11.2000,31.9000,4.6400,27.0000,273.0000,26.6000,13.7820,109.2190
37.3000,8.0000,4.8000,22.8500,42473.1200,4.8000,30.2000,2020-08-06,13.5000,31.3000,4.6400,31.7000,125.0000,25.4000,13.7820,109.2190
36.7000,16.0000,11.1000,14.5000,18494.6500,11.1000,30.2000,2020-08-07,10.7000,30.4000,3.0400,26.3000,121.0000,25.2000,13.7820,109.2190
39.8000,6.0000,5.8000,20.4300,39378.2300,5.8000,33.5000,2020-08-08,13.3000,31.6000,4.4000,30.6000,223.0000,25.3000,13.7820,109.2190
38.0000,5.0000,0.9000,21.0900,42397.9600,0.9000,32.6000,2020-08-09,15.2000,30.9000,4.9100,40.0000,256.0000,26.2000,13.7820,109.2190
37.1000,3.0000,1.5000,20.2300,37178.6500,1.5000,33.5000,2020-08-10,20.4000,31.4000,5.2400,43.2000,251.0000,27.3000,13.7820,109.2190
39.8000,3.0000,0.7000,24.1000,41745.0100,0.7000,34.8000,2020-08-11,19.2000,31.5000,5.6700,47.9000,240.0000,27.1000,13.7820,109.2190
38.6000,1.0000,0.1000,20.5400,41945.2900,0.1000,33.3000,2020-08-12,14.9000,31.6000,4.7400,38.2000,215.0000,26.7000,13.7820,109.2190
34.0000,9.0000,5.7000,9.4500,15305.8750,5.7000,28.5000,2020-08-13,14.2000,31.8000,2.1500,33.8000,168.0000,26.5000,13.7820,109.2190
38.3000,5.0000,7.1000,19.6200,39401.3900,7.1000,32.2000,2020-08-14,15.7000,31.1000,4.1200,34.9000,180.0000,25.2000,13.7820,109.2190
39.8000,6.0000,11.0000,23.3100,38859.5300,11.0000,32.7000,2020-08-15,12.0000,30.8000,4.8800,30.6000,215.0000,25.1000,13.7820,109.2190
40.7000,2.0000,2.5000,23.6100,42196.8000,2.5000,33.6000,2020-08-16,18.6000,30.2000,5.1200,38.5000,164.0000,24.7000,13.7820,109.2190
41.2000,8.0000,8.9000,23.7500,42165.6300,8.9000,33.4000,2020-08-17,11.5000,30.9000,4.9600,32.0000,245.0000,24.9000,13.7820,109.2190
39.0000,14.0000,8.9000,22.8100,42133.9600,8.9000,31.1000,2020-08-18,8.3000,31.3000,4.6300,31.0000,161.0000,25.3000,13.7820,109.2190
39.1000,9.0000,15.5500,21.4600,36268.9600,15.5500,33.5000,2020-08-19,12.7000,30.3000,4.6000,34.9000,281.0000,24.9000,13.7820,109.2190
34.5000,10.0000,7.2000,7.6300,15305.8750,7.2000,28.3000,2020-08-20,5.2000,30.5000,1.6700,17.6000,264.0000,24.7000,13.7820,109.2190
39.3000,8.0000,7.6000,18.9000,42036.1800,7.6000,31.7000,2020-08-21,9.7000,30.6000,3.8900,32.0000,245.0000,25.1000,13.7820,109.2190
40.5000,6.0000,1.7000,23.8200,42002.2100,1.7000,33.6000,2020-08-22,11.8000,30.5000,5.0700,29.9000,211.0000,24.8000,13.7820,109.2190
40.3000,4.0000,1.9000,21.8200,41967.2900,1.9000,33.2000,2020-08-23,13.8000,30.9000,4.6400,38.5000,183.0000,25.2000,13.7820,109.2190
39.4000,0.0000,0.0000,15.6700,23992.7800,0.0000,33.6000,2020-08-24,12.0000,31.5000,3.7800,36.0000,229.0000,26.6000,13.7820,109.2190
41.8000,0.0000,0.0000,24.3600,41894.8300,0.0000,35.0000,2020-08-25,17.6000,31.9000,5.5500,37.1000,178.0000,26.9000,13.7820,109.2190
41.3000,1.0000,0.1000,24.4900,41857.4200,0.1000,36.0000,2020-08-26,16.3000,32.9000,6.0800,43.2000,226.0000,27.9000,13.7820,109.2190
39.6000,1.0000,1.0000,24.1100,41335.1800,1.0000,35.4000,2020-08-27,21.8000,32.1000,6.3000,59.0000,250.0000,28.2000,13.7820,109.2190
39.6000,2.0000,0.8000,21.5600,40246.9300,0.8000,35.0000,2020-08-28,18.6000,32.4000,5.3600,46.8000,237.0000,27.7000,13.7820,109.2190
42.8000,3.0000,0.6000,23.9800,41564.6300,0.6000,35.8000,2020-08-29,12.4000,31.4000,5.6500,30.2000,240.0000,27.0000,13.7820,109.2190
42.4000,9.0000,15.5500,21.6400,40953.7900,15.5500,35.0000,2020-08-30,11.9000,32.4000,4.7400,37.4000,245.0000,26.0000,13.7820,109.2190
40.5000,8.0000,13.4000,23.4100,39640.5300,13.4000,34.8000,2020-08-31,13.7000,31.4000,5.0600,31.7000,306.0000,25.3000,13.7820,109.2190
39.0000,12.0000,6.6000,23.3300,41298.3200,6.6000,32.2000,2020-09-01,11.9000,31.1000,4.8500,29.2000,58.0000,25.3000,13.7820,109.2190
39.9000,14.0000,12.6000,22.8700,41172.9900,12.6000,32.1000,2020-09-02,10.7000,30.5000,4.7100,32.4000,152.0000,25.1000,13.7820,109.2190
39.7000,12.0000,3.6000,22.7900,40704.2000,3.6000,32.0000,2020-09-03,15.4000,30.7000,4.6800,36.4000,47.0000,24.8000,13.7820,109.2190
37.8000,6.0000,3.0000,23.0000,41384.0500,3.0000,31.6000,2020-09-04,19.3000,31.4000,4.7400,40.0000,148.0000,25.2000,13.7820,109.2190
41.2000,8.0000,8.4000,23.5600,40584.8000,8.4000,32.9000,2020-09-05,14.3000,32.4000,5.0000,32.8000,165.0000,26.0000,13.7820,109.2190
