sunshine_duration,prcp,tmin,wind_dir_dominant,evapo_et0,tmax,wind_gusts_max,wind_speed_max,precip_hours,rain_sum,apparent_tmax,date,apparent_tmin,radiation_sum,latitude,longitude
34192.3400,1.7000,23.0000,37.0000,3.7000,30.1000,29.5000,9.7000,5.0000,1.7000,33.9000,2020-05-27,26.6000,17.2700,22.1470,105.8348
33855.1500,0.5000,22.5000,60.0000,3.7000,30.6000,27.0000,8.6000,4.0000,0.5000,34.6000,2020-05-28,26.4000,17.4000,22.1470,105.8348
26311.0600,4.0000,23.5000,216.0000,3.3200,29.8000,37.4000,11.0000,13.0000,4.0000,36.1000,2020-05-29,28.8000,15.9600,22.1470,105.8348
33464.8500,10.7000,24.1000,248.0000,3.9400,31.5000,33.1000,8.0000,14.0000,10.7000,38.9000,2020-05-30,30.0000,18.9700,22.1470,105.8348
38228.0700,6.4000,25.0000,221.0000,4.2700,32.8000,38.5000,12.1000,4.0000,6.4000,39.1000,2020-05-31,31.3000,19.5700,22.1470,105.8348
39695.1300,2.9000,24.4000,228.0000,4.5100,32.8000,35.3000,11.0000,9.0000,2.9000,40.3000,2020-06-01,30.1000,21.3700,22.1470,105.8348
35528.7600,4.1000,24.9000,200.0000,4.1300,32.6000,38.9000,11.1000,3.0000,4.1000,39.3000,2020-06-02,31.3000,19.6200,22.1470,105.8348
32302.3600,8.5000,24.6000,61.0000,3.7600,31.8000,28.1000,7.6000,6.0000,8.5000,39.1000,2020-06-03,30.1000,17.7300,22.1470,105.8348
36000.0000,15.5000,24.0000,237.0000,4.2400,32.7000,35.3000,10.6000,16.0000,15.5000,39.7000,2020-06-04,28.8000,19.6200,22.1470,105.8348
26352.4900,4.8000,25.7000,237.0000,3.0000,31.2000,37.4000,10.0000,8.0000,4.8000,37.9000,2020-06-05,32.3000,14.2000,22.1470,105.8348
29855.6500,17.9000,24.1000,190.0000,3.6400,32.2000,31.7000,9.9000,12.0000,17.9000,38.6000,2020-06-06,29.2000,16.7300,22.1470,105.8348
42719.6100,0.4000,25.3000,211.0000,4.6800,34.0000,39.6000,12.5000,1.0000,0.4000,39.9000,2020-06-07,31.5000,20.4000,22.1470,105.8348
42395.8900,0.6000,26.8000,210.0000,5.0300,34.2000,39.2000,12.1000,1.0000,0.6000,40.8000,2020-06-08,32.9000,22.0600,22.1470,105.8348
27163.5600,10.9000,26.5000,16.0000,3.3700,32.7000,19.4000,5.6000,6.0000,10.9000,40.1000,2020-06-09,33.1000,15.4900,22.1470,105.8348
456.1400,18.0000,24.9000,258.0000,1.7200,29.0000,31.3000,7.6000,20.0000,18.0000,36.0000,2020-06-10,30.9000,8.1000,22.1470,105.8348
20564.3700,12.5000,25.2000,214.0000,2.3400,29.8000,37.4000,9.9000,22.0000,12.5000,36.6000,2020-06-11,31.4000,11.4500,22.1470,105.8348
42918.2700,1.4000,25.3000,201.0000,3.8800,32.6000,37.8000,12.8000,7.0000,1.4000,38.2000,2020-06-12,31.5000,17.4500,22.1470,105.8348
