wind_dir_dominant,apparent_tmax,radiation_sum,prcp,wind_gusts_max,evapo_et0,precip_hours,tmin,date,sunshine_duration,wind_speed_max,rain_sum,apparent_tmin,tmax,latitude,longitude
145.0000,39.0000,18.0000,6.4000,34.6000,4.1000,7.0000,25.5000,2020-05-24,38175.3100,17.3000,6.4000,31.7000,33.0000,21.1861,106.0763
117.0000,42.4000,22.0200,17.0000,39.2000,4.9800,10.0000,26.5000,2020-05-25,42443.3800,16.1000,17.0000,31.0000,34.8000,21.1861,106.0763
32.0000,35.2000,19.4300,17.0000,37.1000,4.4000,12.0000,24.2000,2020-05-26,30975.1300,19.2000,17.0000,27.6000,30.2000,21.1861,106.0763
6.0000,33.3000,17.0800,5.3000,29.5000,3.7100,8.0000,23.7000,2020-05-27,31463.4100,12.9000,5.3000,27.2000,30.1000,21.1861,106.0763
193.0000,35.8000,17.5600,0.3000,18.0000,3.7800,2.0000,23.2000,2020-05-28,35386.8600,10.0000,0.3000,27.4000,30.6000,21.1861,106.0763
161.0000,36.1000,14.8900,1.0000,35.3000,3.4600,7.0000,24.7000,2020-05-29,24385.3900,15.2000,1.0000,29.5000,31.0000,21.1861,106.0763
151.0000,40.9000,21.2900,2.1000,33.5000,4.7300,5.0000,26.0000,2020-05-30,37155.3400,12.5000,2.1000,31.5000,33.0000,21.1861,106.0763
166.0000,42.3000,23.4300,0.2000,32.0000,5.6300,1.0000,26.5000,2020-05-31,41630.4500,17.7000,0.2000,31.8000,34.5000,21.1861,106.0763
160.0000,41.1000,20.9000,7.2000,32.4000,4.8900,6.0000,27.1000,2020-06-01,32400.0000,17.1000,7.2000,32.1000,33.8000,21.1861,106.0763
161.0000,41.4000,23.6000,1.5000,34.6000,5.7300,3.0000,27.1000,2020-06-02,37946.7500,17.3000,1.5000,32.7000,34.5000,21.1861,106.0763
149.0000,42.5000,24.0000,1.0000,31.3000,5.8400,2.0000,27.3000,2020-06-03,41673.2900,17.0000,1.0000,31.3000,34.3000,21.1861,106.0763
149.0000,43.3000,22.6900,3.0000,38.2000,5.6300,8.0000,27.3000,2020-06-04,39600.0000,19.5000,3.0000,33.0000,35.5000,21.1861,106.0763
157.0000,40.7000,17.6700,0.1000,34.2000,4.5600,1.0000,28.4000,2020-06-05,31483.6700,15.1000,0.1000,33.6000,34.0000,21.1861,106.0763
139.0000,41.5000,17.9600,3.1000,30.6000,4.6600,3.0000,26.7000,2020-06-06,35607.7000,16.4000,3.1000,32.5000,34.8000,21.1861,106.0763
188.0000,43.0000,24.8200,0.0000,32.4000,7.0550,0.0000,28.6000,2020-06-07,43200.0000,17.3000,0.0000,32.2000,36.8000,21.1861,106.0763
